"","risk_type","hb_rel_risk","lcr_rel_risk","pfas_rel_risk","dbp_rel_risk","tcr_rel_risk","ars_rel_risk","nitrate_rel_risk","boundary"
"1","race",1.30601876492677,1.15005901825884,1.11042310317011,0.969350759980127,0.976540167278365,1.42492893794422,1.37291931281882,"county"
"2","income",1.1824378811425,1.21952844582696,0.993224551832322,0.913068538929661,1.06239737023097,1.28211478695946,1.11735596016342,"county"
"3","race",1.23836893562325,1.15357265533542,1.20136927957863,0.941684242831723,1.21755759694481,1.37874451879784,1.35662748446364,"zc"
"4","income",1.19934048943894,1.16908971246769,1.01366122198036,0.903679375632662,1.07558143060905,1.27397666844457,1.08064965853838,"zc"
"5","race",1.41737607058707,1.01708666412733,1.13737103846611,0.98544053522966,1.05995139383051,1.20244657955102,1.26476898436149,"usgs"
"6","income",1.42087395142411,1.2748545109452,0.90998172055043,0.935458462859057,1.10850791058315,1.2308326686705,1.08678246096865,"usgs"
"7","race",1.70609084726838,0.913991834684303,1.2095752702611,0.964274090980941,1.06797026600176,1.36346474471252,1.36610571506288,"epic"
"8","income",1.5553222751833,1.03025472362804,1.0150747315791,0.91838062269925,1.1049237687111,1.275274566966,1.08458780493004,"epic"
"9","race",1.44077105464498,0.962752214147812,1.19296430168964,0.959229577529532,1.00189729182994,1.38201460874679,1.39216452624145,"hm"
"10","income",1.35277489070135,1.06999830060628,1.01615920888584,0.911111804911733,1.07227821334079,1.28911493905691,1.08820449285794,"hm"
