"pwsid","detection_share"
"090605136",0.0077319587628866
"090605143",0.0434782608695652
"090605149",0
"090605150",0
"090605151",0.0454545454545455
"090605152",0.0217391304347826
"090605153",0.0513888888888889
"090605157",0.0740740740740741
"090605158",0
"090605159",0.0169491525423729
"090605161",0.00194174757281553
"090605163",0
"090605164",0
"090605177",0.264705882352941
"093200161",0
"093200162",0
"093200163",0.138888888888889
"093200166",0
"093200168",0
"093200169",0.0576923076923077
"093200200",0.0606060606060606
"093200266",0
"093200359",0
"093200369",0
"093200372",0.224137931034483
"093200373",0.0645161290322581
"093500302",0
"093500333",0.0128205128205128
"093503042",0.0461538461538462
"093534001",0
"093534002",0.169014084507042
"093534004",0.0344827586206897
"093534005",0
"093534006",0.024390243902439
"093534010",0.208955223880597
"093534012",0.0384615384615385
"093534013",0.0555555555555556
"093534015",0.122448979591837
"093534019",0
"093534020",0
"093534021",0
"093534023",0
"093534024",0
"094902226",0.294117647058824
"AS9310751",0.280542986425339
"AS9430546",0.118343195266272
"AS9530447",0.115384615384615
"AS9630243",0.102040816326531
"AS9710621",1
"AS9710652",0.254658385093168
"AS9710657",0
"AS9710820",1
"AS9710855",0.0150375939849624
"AS9710858",0.24390243902439
"AS9711948",0.0496723737053477
"NN0400174",0.00527704485488127
"NN0403000",0.0169491525423729
"NN0403001",0.0102564102564103
"NN0403003",0.00645161290322581
"NN0403004",0.0179372197309417
"NN0403005",0
"NN0403006",0.0119047619047619
"NN0403021",0.0416666666666667
"NN0403022",0
"NN0403023",0.0188679245283019
"NN0403025",0
"NN0403026",0.0675675675675676
"NN0403033",0.0412371134020619
"NN0403047",0
"NN0403048",0
"NN0403055",0
"NN0403058",0.108695652173913
"NN0403060",0
"NN0403062",0.0338983050847458
"NN0403072",0
"NN0403100",0.203883495145631
"NN0403102",0
"NN0403811",0
"NN0432005",0
"NN0432007",0.0196078431372549
"NN0432010",0
"NN0433002",0
"NN0433007",0
"NN0433016",0.134615384615385
"NN0435004",0
"NN0435006",0
"NN0435007",0.25
"NN0435008",0
"NN0435009",0
"NN0435011",0.0277777777777778
"NN0435212",0
