pwsid,arsenic
083890023,.0012300001
083890025,.0080904542
083890025 ,0
083890026,.0042318748
083890026 ,0
083890029,.0037
083890030,.0026907143
084690019 ,0
084690020,.0020000001
084690021 ,0
084690022,0
084690026,0
084690029,.010666667
084690438,0
084690438 ,0
084690439,.003
084690439 ,0
084690440,.001
084690440 ,0
084690441,0
084690466 ,0
084690467 ,0
084690468 ,0
084690472 ,0
084690474,.0060000001
084690475,.0038333333
084690475 ,0
084690478 ,0
084690480,.0080000004
084690480 ,0
084690481 ,0
084690484 ,0
084690485,0
084690510,0
084690512,.0080000004
084690521,.0060000001
084690528,.0040000002
084690531 ,0
084690532 ,0
084990002,0
084990002 ,0
084990003,0
084990003 ,0
084990004,.00605
084990004 ,0
084990006 ,0
084990008 ,0
084990009 ,0
085690002,0
085690002 ,0
085690003,0
085690003 ,0
085690004,0
085690004 ,0
085690008,.0020000001
085690008 ,0
085690010 ,0
090400001,.0033516129
090400002,.0013331251
090400003,.0036537501
090400004,.0019384616
090400005,.0024429413
090400006,.0021405357
090400008,.004430769
090400013,0
090400016,.0015742623
090400018,.0026545455
090400019,.003687324
090400020,.0022791666
090400021,0
090400022,0
090400023,0
090400026,0
090400027,.0015882353
090400028,0
090400029,.0046285712
090400030,.0022686666
090400032,.0010214286
090400034,.0033162001
090400035,.0027333335
090400036,.0032238096
090400037,.0017238095
090400038,.0048333332
090400040,.0042545456
090400041,.0012645455
090400042,.00323125
090400047,.00017522936
090400051,0
090400054,.0038385827
090400057,.0065576923
090400060,0
090400063,.0025179104
090400071,0
090400073,.00073333335
090400076,.00026
090400083,0
090400086,0
090400088,.0071952678
090400089,.00034444444
090400090,.00018666666
090400092,.00085714285
090400093,0
090400094,.0040199999
090400095,0
090400096,0
090400098,.0040333332
090400100,0
090400101,0
090400102,.0078862067
090400104,.00079583336
090400105,.0029875
090400106,.012912069
090400107,.011373913
090400108,.0038999999
090400109,0
090400110,.0013
090400111,.00312
090400112,.0044789473
090400114,.0055472604
090400116,.0027215686
090400117,.0010826923
090400120,0
090400206,0
090400207,0
090400208,0
090400209,0
090400215,.0019777778
090400220,.0018142858
090400226,.0033950685
090400227,.0023608333
090400229,0
090400231,.0025549999
090400232,0
090400233,.00092999998
090400234,.0015239583
090400237,0
090400242,.0026875001
090400243,0
090400244,0
090400259,.0079411762
090400260,.016083334
090400273,.0050499998
090400274,0
090400302,0
090400304,.00070000003
090400316,.0041749999
090400320,0
090400345,.0012846154
090400346,.0035571428
090400393,.00055
090400394,.011261703
090400395,.0039688889
090400402,0
090400673,.00077500002
090400676,.00030000001
090400678,.0023333335
090400679,.00015000001
090400680,0
090400681,0
090400687,0
090400688,0
090400689,0
090400692,.0026297297
090400693,.0053348839
090400694,.0033619048
090400695,.00071186438
090400698,.0014545455
090400699,.00073333335
090400700,0
090400701,.0024000001
090400703,.0014818182
090400706,.00192
090401323,0
090402015,0
090402057,.00034999999
090403009,0
090403010,0
090403011,0
090407149,0
090408027,.000275
090411311,0
090433001,0
090600052,0
090600053,0
090600054,0
090600056,0
090600057,.00018
090600059,0
090600061,0
090600118,.00017894738
090600119,0
090600120,0
090600121,.00030000001
090600122,.00033333336
090600125,.00059999997
090600126,.0014
090600127,0
090600128,.001
090600129,0
090600130,.0013666666
090600131,0
090600133,0
090600134,0
090600135,0
090600138,0
090600139,0
090600142,0
090600144,0
090600145,0
090600146,0
090600147,0
090600150,0
090600151,0
090600154,.00058580644
090600156,.0031008928
090600158,.00024363637
090600159,.0038615384
090600160,0
090600161,0
090600165,0
090600190,0
090600194,0
090600226,.00048000002
090600227,.0026
090600238,.00050000002
090600362,.00059649121
090600601,0
090600741,0
090605000,0
090605004,0
090605006,0
090605007,0
090605008,0
090605011,0
090605012,.003
090605013,.00025909091
090605014,0
090605015,0
090605017,.0053769229
090605019,.0032545454
090605020,.0027999999
090605021,0
090605024,0
090605025,0
090605033,0
090605041,0
090605045,0
090605046,0
090605047,.00032666666
090605057,0
090605060,0
090605062,.003
090605073,.0026
090605074,.0014
090605077,.0049874997
090605106,0
090605107,.00105
090605113,0
090605115,.001225
090605116,0
090605117,0
090605119,0
090605120,0
090605122,0
090605124,0
090605125,0
090605126,0
090605128,0
090605129,.0044962964
090605130,0
090605132,0
090605133,0
090605136,0
090605140,0
090605142,.00194
090605143,0
090605144,0
090605146,0
090605147,0
090605149,0
090605153,0
090605154,.0017526316
090605155,0
090605158,0
090605159,0
090605160,.011857692
090605161,0
090605163,0
090605164,0
090605165,0
090605168,0
090605172,0
090605174,.0086000003
090605177,0
093200067,0
093200161,0
093200162,.0026666669
093200163,.0045750001
093200164,.003
093200165,0
093200166,.0027736842
093200168,.00042857142
093200169,.0027142859
093200171,.003246479
093200172,0
093200173,0
093200175,0
093200177,0
093200178,0
093200200,.00075000001
093200359,0
093200360,.0011386139
093200362,.0034634147
093200363,0
093200364,.005155263
093200365,0
093200366,.0071166665
093200368,.0032857144
093200369,.0020000001
093200371,0
093200372,0
093200373,0
093200374,0
093500302,0
