"","PWSID","Maximum_sample_exceedence","Units","total_violations","SAMPLING_END_DATE"
"1","WI2650929",0.066,"mg/L",2,"12/31/1993"
"2","WI2650980",0.0174,"mg/L",1,"12/31/1993"
"3","WI2651167",0.02095,"mg/L",1,"12/31/2010"
"4","WI2651311",2.2335,"mg/L",3,"12/31/2009"
"5","WI2651598",0.020285,"mg/L",2,"12/31/2002"
"6","WI2651598",0.020285,"mg/L",2,"12/31/2002"
"7","WI2681760",0.55,"mg/L",1,"12/31/1996"
"8","WI2681762",0.017,"mg/L",1,"12/31/1995"
"9","WI2683556",0.0264,"mg/L",1,"12/31/1993"
"10","WI2683558",0.0175,"mg/L",1,"06/30/1997"
"11","WI2683609",0.019,"mg/L",1,"12/31/1994"
"12","WI2460885",1.6,"mg/L",1,"12/31/1993"
"13","WI2460902",0.031,"mg/L",1,"12/31/1993"
"14","WI2520199",0.0533,"mg/L",1,"12/31/2008"
"15","WI2680505",0.0173,"mg/L",1,"12/31/2003"
"16","WI2680253",2.3,"mg/L",2,"12/31/1992"
"17","WI2680525",0.016,"mg/L",1,"06/30/1994"
"18","WI2680273",0.0765,"mg/L",1,"12/31/1994"
"19","WI2460568",5.35,"mg/L",7,"06/30/2010"
"20","WI4200247",0.0155,"mg/L",1,"12/31/1997"
"21","WI4150517",0.1235,"mg/L",1,"12/31/1993"
"22","WI2680752",0.03555,"mg/L",2,"12/31/2010"
"23","WI2680511",0.0355,"mg/L",2,"12/31/1998"
"24","WI2680543",0.021,"mg/L",1,"12/31/1994"
"25","WI2680562",0.025,"mg/L",2,"12/31/1993"
"26","WI2680593",0.0285,"mg/L",2,"12/31/2010"
"27","WI2680604",0.398,"mg/L",1,"12/31/1994"
"28","WI2670063",0.025,"mg/L",2,"12/31/2006"
"29","WI4360634",1.4,"mg/L",1,"06/30/1994"
"30","WI4380692",0.0304,"mg/L",2,"12/31/2001"
"31","WI4360657",6.1,"mg/L",5,"06/30/2008"
"32","WI4380028",0.023,"mg/L",1,"12/31/2007"
"33","WI4380755",0.0496,"mg/L",2,"12/31/1993"
"34","WI2684972",0.04205,"mg/L",1,"11/20/2001"
"35","WI2685764",3.486,"mg/L",4,"12/31/2002"
"36","WI2685764",3.486,"mg/L",4,"12/31/2002"
"37","WI2681905",0.0185,"mg/L",2,"12/31/1995"
"38","WI2460955",1.85,"mg/L",2,"12/31/1995"
"39","WI2461379",0.0152,"mg/L",1,"12/31/2010"
"40","WI4390009",0.0992,"mg/L",1,"12/31/2004"
"41","WI4390287",0.02535,"mg/L",1,"12/31/2003"
"42","WI4390309",0.18,"mg/L",3,"12/31/1993"
"43","WI4390331",0.023,"mg/L",1,"12/31/1993"
"44","WI4390416",0.027,"mg/L",1,"12/31/1998"
"45","WI2670148",3.445,"mg/L",2,"12/31/1993"
"46","WI4050351",2.45,"mg/L",12,"12/31/1993"
"47","WI2682149",0.074,"mg/L",3,"12/31/2010"
"48","WI2682153",0.0865,"mg/L",1,"06/30/1996"
"49","WI2682265",0.049,"mg/L",1,"12/31/1993"
"50","WI2681096",0.0205,"mg/L",1,"12/31/1998"
"51","WI2682270",1.85,"mg/L",1,"12/31/1995"
"52","WI2520204",0.0754,"mg/L",3,"12/31/1993"
"53","WI2520221",0.0154,"mg/L",1,"12/31/1995"
"54","WI2670233",0.0234,"mg/L",1,"12/31/1996"
"55","WI4380886",0.0215,"mg/L",1,"12/31/1998"
"56","WI4390101",0.02105,"mg/L",1,"12/31/2005"
"57","WI4390281",0.0741,"mg/L",2,"06/30/1994"
"58","WI1530124",0.02,"mg/L",1,"12/31/1993"
"59","WI1530305",0.023,"mg/L",1,"06/30/2006"
"60","WI1540116",0.0325,"mg/L",1,"12/31/1993"
"61","WI4200405",0.0348,"mg/L",3,"12/31/1995"
"62","WI4200409",0.04535,"mg/L",1,"12/31/2007"
"63","WI4200461",0.016,"mg/L",1,"12/31/1993"
"64","WI2520415",1.425,"mg/L",1,"12/31/2004"
"65","WI2520214",0.032,"mg/L",2,"12/31/1993"
"66","WI4390311",0.056,"mg/L",1,"12/31/1993"
"67","WI4430588",0.0206,"mg/L",1,"12/31/1995"
"68","WI4430673",0.01924,"mg/L",1,"06/30/2009"
"69","WI2670393",0.034,"mg/L",1,"06/30/1994"
"70","WI2683807",1.3955,"mg/L",2,"12/31/2004"
"71","WI2683808",0.0855,"mg/L",1,"12/31/1996"
"72","WI2684361",5.555,"mg/L",2,"06/30/1997"
"73","WI2521046",1.94,"mg/L",1,"12/31/1997"
"74","WI4200475",0.034,"mg/L",1,"12/31/1996"
"75","WI4200700",0.0305,"mg/L",7,"12/31/1997"
"76","WI2670171",2.31,"mg/L",7,"06/30/2003"
"77","WI2670196",0.023,"mg/L",1,"12/31/1993"
"78","WI2670496",1.76,"mg/L",1,"06/30/2008"
"79","WI2670498",0.044,"mg/L",1,"06/30/1994"
"80","WI2670221",0.1685,"mg/L",4,"12/31/1993"
"81","WI2670696",0.02635,"mg/L",1,"12/31/1995"
"82","WI2670234",3.443,"mg/L",1,"09/18/2001"
"83","WI2670804",0.0178,"mg/L",1,"12/31/1998"
"84","WI2685657",0.0163,"mg/L",1,"12/31/2010"
"85","WI2460208",1.734,"mg/L",1,"12/31/1993"
"86","WI2460214",0.032,"mg/L",2,"12/31/1997"
"87","WI4050468",1.4,"mg/L",2,"12/31/1992"
"88","WI4050487",0.0167,"mg/L",1,"12/31/1996"
"89","WI4430496",0.021,"mg/L",2,"12/31/1993"
"90","WI4430506",1.4245,"mg/L",1,"12/31/2000"
"91","WI4430519",0.084,"mg/L",1,"12/31/1998"
"92","WI3180028",5.21,"mg/L",5,"12/31/2004"
"93","WI3280021",2.73,"mg/L",1,"06/30/2002"
"94","WI4050354",0.0195,"mg/L",1,"06/30/1997"
"95","WI2520285",0.0215,"mg/L",1,"12/31/1993"
"96","WI2520316",1.35,"mg/L",2,"12/31/1999"
"97","WI2521247",0.0375,"mg/L",1,"12/31/1993"
"98","WI2680198",0.16,"mg/L",6,"12/31/2006"
"99","WI2670481",0.01555,"mg/L",1,"06/30/1995"
"100","WI2680761",0.023,"mg/L",1,"12/31/2009"
"101","WI2680775",0.043,"mg/L",2,"12/31/1993"
"102","WI2460197",0.026,"mg/L",1,"12/31/1993"
"103","WI2680813",0.047,"mg/L",1,"12/31/1993"
"104","WI2521737",0.09,"mg/L",1,"12/31/1994"
"105","WI2521779",0.027,"mg/L",2,"12/31/1999"
"106","WI2650038",0.017,"mg/L",2,"12/31/1993"
"107","WI2520399",0.0204,"mg/L",1,"12/31/1999"
"108","WI2680082",0.032,"mg/L",2,"12/31/1992"
"109","WI2650058",2.35,"mg/L",9,"12/31/2004"
"110","WI1540133",0.0229,"mg/L",1,"12/31/1993"
"111","WI1540113",0.115,"mg/L",1,"12/31/2006"
"112","WI1540198",0.0571,"mg/L",2,"06/30/1994"
"113","WI4450337",2.35,"mg/L",7,"06/30/1996"
"114","WI4450640",0.019,"mg/L",2,"12/31/1993"
"115","WI4450408",0.021,"mg/L",1,"06/30/1995"
"116","WI4430818",0.021,"mg/L",1,"06/30/1994"
"117","WI4050687",1.607,"mg/L",1,"12/31/2007"
"118","WI4051768",0.0232,"mg/L",1,"06/30/1999"
"119","WI4051769",1.84,"mg/L",1,"12/31/1997"
"120","WI4080076",1.852,"mg/L",2,"12/31/1994"
"121","WI2460175",0.022,"mg/L",1,"12/31/1993"
"122","WI2460177",0.092,"mg/L",1,"12/31/1996"
"123","WI1540242",0.0254,"mg/L",1,"12/31/1993"
"124","WI2521432",0.044,"mg/L",1,"12/31/1993"
"125","WI2680201",0.039,"mg/L",1,"12/31/2000"
"126","WI2680203",0.02745,"mg/L",3,"12/31/2002"
"127","WI2680203",0.02745,"mg/L",3,"12/31/2002"
"128","WI2680205",0.0173,"mg/L",1,"12/31/1995"
"129","WI4450485",2.96,"mg/L",2,"12/31/2007"
"130","WI4450503",0.0196,"mg/L",4,"12/31/2010"
"131","WI2460334",2.56,"mg/L",3,"06/30/1997"
"132","WI2460339",0.0255,"mg/L",1,"04/18/2001"
"133","WI2460444",1.401,"mg/L",2,"06/30/2005"
"134","WI2460223",0.016,"mg/L",1,"12/31/1993"
"135","WI2460881",0.019,"mg/L",1,"12/31/1993"
"136","WI2460982",1.5,"mg/L",1,"06/30/2000"
"137","WI2461052",0.016,"mg/L",1,"06/30/1995"
"138","WI4450604",0.0204,"mg/L",1,"12/31/1996"
"139","WI4450623",0.039,"mg/L",1,"12/31/1997"
"140","WI4450670",0.03,"mg/L",1,"10/03/2001"
"141","WI4590460",1.87,"mg/L",3,"12/31/1993"
"142","WI4450933",0.025,"mg/L",1,"06/30/1994"
"143","WI4050547",0.0151,"mg/L",1,"08/06/2001"
"144","WI4050899",3.76,"mg/L",1,"12/31/2007"
"145","WI1540141",0.0223,"mg/L",1,"12/31/2007"
"146","WI1570092",2.4,"mg/L",3,"06/30/1994"
"147","WI1540166",0.149,"mg/L",1,"12/31/1994"
"148","WI1570097",0.064,"mg/L",1,"06/30/1994"
"149","WI1540244",1.65,"mg/L",6,"06/30/1994"
"150","WI2680271",0.043,"mg/L",2,"12/31/1993"
"151","WI4051359",0.022,"mg/L",2,"12/31/2003"
"152","WI4051625",1.95,"mg/L",1,"12/31/1996"
"153","WI4080222",0.042,"mg/L",3,"12/31/1993"
"154","WI2650066",0.022,"mg/L",7,"12/31/1992"
"155","WI2650176",0.0265,"mg/L",2,"12/31/2002"
"156","WI2650176",0.0265,"mg/L",2,"12/31/2002"
"157","WI2650247",0.03,"mg/L",1,"12/31/1993"
"158","WI2650288",0.019,"mg/L",1,"12/31/1993"
"159","WI2681769",0.0508,"mg/L",8,"12/31/1999"
"160","WI2681834",0.18,"mg/L",5,"06/30/2004"
"161","WI4590465",0.022,"mg/L",1,"12/31/1993"
"162","WI2681918",0.0195,"mg/L",1,"12/31/1995"
"163","WI2681945",0.068,"mg/L",1,"12/31/1995"
"164","GA0270000",0.0164,"mg/L",1,"12/31/2009"
"165","GA0270027",0.0155,"mg/L",1,"12/31/2009"
"166","GA1650001",0.0341,"mg/L",1,"12/31/2009"
"167","WI2670115",0.017,"mg/L",1,"12/31/1998"
"168","WI2670116",1.7,"mg/L",4,"12/31/1996"
"169","WI2682148",0.0297,"mg/L",2,"12/31/2007"
"170","WI2681075",0.067,"mg/L",4,"12/31/2002"
"171","WI2681075",0.067,"mg/L",4,"12/31/2002"
"172","WI2681086",0.0273,"mg/L",1,"12/31/1993"
"173","WI2682222",0.017,"mg/L",1,"12/31/1993"
"174","WI2680242",0.1805,"mg/L",5,"06/30/1998"
"175","WI2461463",2.29,"mg/L",2,"12/31/1999"
"176","WI2461592",0.0255,"mg/L",1,"12/31/2008"
"177","IL0270050",4.3,"mg/L",15,"09/30/1993"
"178","IL0310220",0.053,"mg/L",1,"12/31/1998"
"179","IL0310240",0.02,"mg/L",1,"09/30/1992"
"180","IL0310330",0.022,"mg/L",3,"09/30/1992"
"181","IL0310360",0.019,"mg/L",1,"09/30/1992"
"182","IL0310420",0.025,"mg/L",1,"09/30/1992"
"183","IL0311170",0.033,"mg/L",1,"09/30/1992"
"184","IL0311230",0.024,"mg/L",2,"03/31/1993"
"185","IL0315030",0.02,"mg/L",1,"12/31/2001"
"186","IL0314860",0.019,"mg/L",2,"12/31/1994"
"187","SD4600007",2,"mg/L",3,"12/31/2007"
"188","GA0210021",1.9,"mg/L",6,"12/31/2007"
"189","GA1030125",1.45,"mg/L",6,"12/31/2007"
"190","GA1370015",1.65,"mg/L",2,"12/31/2007"
"191","GA2170015",2.15,"mg/L",2,"12/31/2007"
"192","GA1570004",3.7,"mg/L",1,"12/31/2009"
"193","GA2110005",1.4838,"mg/L",2,"12/31/2007"
"194","CA2700511",2.2,"mg/L",20,"12/31/2006"
"195","GA2450029",3.825,"mg/L",1,"12/31/2007"
"196","NC0428425",0.017,"mg/L",1,"12/31/2007"
"197","IL0310510",0.029,"mg/L",1,"06/30/1992"
"198","IL0310720",0.02,"mg/L",1,"12/31/1998"
"199","IL0270500",0.018,"mg/L",1,"09/30/1993"
"200","IL0270350",1.78,"mg/L",1,"12/31/2001"
"201","IL0275200",0.021,"mg/L",1,"12/31/1994"
"202","IL0314120",0.02,"mg/L",3,"09/30/1992"
"203","IL0275230",0.016,"mg/L",1,"12/31/1995"
"204","IL0290100",0.016,"mg/L",1,"09/30/1992"
"205","IL0735000",0.601,"mg/L",1,"03/31/1994"
"206","IL0855050",0.114,"mg/L",1,"12/31/2001"
"207","IL0855200",0.016,"mg/L",1,"09/30/1993"
"208","IL0855150",0.033,"mg/L",1,"03/31/1994"
"209","IL0870020",0.02,"mg/L",1,"09/30/1993"
"210","IL0875510",0.023,"mg/L",1,"09/30/1993"
"211","IL0890080",0.016,"mg/L",1,"06/30/1996"
"212","MT0000596",0.0215,"mg/L",1,"12/31/2007"
"213","ND3000597",0.01595,"mg/L",1,"12/31/2009"
"214","OK2004253",26.87,"mg/L",2,"12/31/2007"
"215","IL0370150",0.02,"mg/L",1,"12/31/1998"
"216","IL0370300",0.024,"mg/L",1,"03/31/1994"
"217","IL0375265",0.025,"mg/L",1,"12/31/1995"
"218","IL0890300",0.021,"mg/L",2,"03/31/1994"
"219","IL0890350",0.019,"mg/L",4,"03/31/1997"
"220","IL0890950",0.046,"mg/L",1,"09/30/1992"
"221","IL0894130",0.02,"mg/L",2,"09/30/1992"
"222","IL0894130",0.02,"mg/L",2,"03/31/1993"
"223","IL0010550",1.44,"mg/L",1,"12/31/1994"
"224","IL0395185",0.017,"mg/L",1,"12/31/1998"
"225","IL0410050",0.032,"mg/L",8,"09/30/1993"
"226","IL0311710",0.027,"mg/L",1,"09/30/1992"
"227","IL0311650",0.023,"mg/L",3,"03/31/1993"
"228","IL0295100",0.02,"mg/L",1,"09/30/1992"
"229","IL0311830",0.019,"mg/L",1,"09/30/1992"
"230","IL0311950",0.016,"mg/L",1,"09/30/1992"
"231","MI2007502",0.019,"mg/L",1,"12/31/2008"
"232","SC3260191",1.42,"mg/L",1,"12/31/2007"
"233","IL3097352",0.044,"mg/L",2,"12/31/2007"
"234","SC4570107",1.51,"mg/L",3,"12/31/2007"
"235","DC0000001",0.039,"mg/L",2,"12/31/1992"
"236","IL0010100",1.48,"mg/L",1,"03/31/1994"
"237","IL0010450",3.1,"mg/L",4,"12/31/1999"
"238","IL0010350",2,"mg/L",5,"12/31/1994"
"239","IL0430140",0.019,"mg/L",1,"06/30/1995"
"240","IL0430250",0.029,"mg/L",2,"09/30/1992"
"241","IL0312070",0.02,"mg/L",2,"03/31/1993"
"242","IL0311920",0.023,"mg/L",1,"09/30/1992"
"243","IL0311860",0.018,"mg/L",2,"03/31/1993"
"244","IL0312100",0.025,"mg/L",2,"09/30/1992"
"245","IL0312160",0.016,"mg/L",1,"09/30/1992"
"246","IL0312220",0.024,"mg/L",2,"12/31/1992"
"247","IL0312850",0.022,"mg/L",2,"03/31/1993"
"248","SC0330001",0.0415,"mg/L",3,"12/31/2007"
"249","SC0270401",0.3625,"mg/L",2,"12/31/2007"
"250","SC0870124",0.0323,"mg/L",2,"12/31/2007"
"251","SC1310002",0.124,"mg/L",2,"12/31/2007"
"252","SC3250093",0.1244,"mg/L",1,"12/31/2006"
"253","NM3500721",0.018,"mg/L",1,"12/31/2007"
"254","IL0075289",0.041,"mg/L",2,"12/31/1994"
"255","IL0430950",0.017,"mg/L",1,"03/31/1993"
"256","IL0311292",0.025,"mg/L",1,"09/30/1993"
"257","IL0311350",0.018,"mg/L",2,"09/30/1992"
"258","IL0311350",0.018,"mg/L",2,"03/31/1993"
"259","IL0311560",0.019,"mg/L",1,"09/30/1992"
"260","IL0311500",0.018,"mg/L",1,"09/30/1993"
"261","IL0311590",0.067,"mg/L",1,"09/30/1992"
"262","IL0313300",0.02,"mg/L",2,"03/31/1993"
"263","IL0315647",0.029,"mg/L",2,"09/30/1993"
"264","IL0315650",0.025,"mg/L",1,"09/30/1993"
"265","IL0315677",0.066,"mg/L",1,"09/30/1993"
"266","IL0315175",0.042,"mg/L",1,"06/30/1997"
"267","IL0315310",0.027,"mg/L",1,"09/30/1993"
"268","IL0110010",1.99,"mg/L",1,"12/31/1997"
"269","IL0015815",1.395,"mg/L",2,"12/31/1995"
"270","IL0110050",0.053,"mg/L",3,"09/30/2000"
"271","IL0435980",0.018,"mg/L",1,"12/31/1995"
"272","IL0437000",0.031,"mg/L",1,"12/31/1997"
"273","IL0437300",0.018,"mg/L",1,"09/30/1993"
"274","VT0006075",0.032,"mg/L",1,"12/31/2007"
"275","IL0310180",0.022,"mg/L",1,"09/30/1992"
"276","IL0310150",0.042,"mg/L",3,"03/31/1993"
"277","IL0312940",0.024,"mg/L",1,"03/31/1993"
"278","IL0312970",0.023,"mg/L",1,"09/30/1992"
"279","IL0313000",0.019,"mg/L",1,"09/30/1992"
"280","IL0313150",0.076,"mg/L",4,"06/30/1997"
"281","VT0008344",0.064,"mg/L",1,"12/31/2007"
"282","IL0310210",0.033,"mg/L",4,"09/30/1992"
"283","NM3513107",0.021415,"mg/L",1,"12/31/2007"
"284","IL0130050",2.76,"mg/L",1,"03/31/1994"
"285","IL0150020",0.161,"mg/L",1,"06/30/1995"
"286","IL0110350",2.1,"mg/L",7,"06/30/2004"
"287","IL0110550",2.75,"mg/L",7,"03/31/1994"
"288","IL0110500",2.25,"mg/L",8,"09/30/1993"
"289","IL0070100",0.017,"mg/L",1,"12/31/2000"
"290","IL0317370",0.024,"mg/L",1,"09/30/1992"
"291","IL0317050",1.46,"mg/L",4,"06/30/1995"
"292","IL0312460",0.019,"mg/L",2,"09/30/1992"
"293","IL0312490",0.026,"mg/L",4,"09/30/1993"
"294","IL0312520",0.02,"mg/L",1,"03/31/1993"
"295","IL0312580",0.031,"mg/L",4,"09/30/1992"
"296","IL0312250",0.039,"mg/L",3,"06/30/1992"
"297","GA0710087",0.0295,"mg/L",1,"12/31/2007"
"298","IL0115050",2.28,"mg/L",1,"03/31/1994"
"299","IL0115000",1.35,"mg/L",3,"09/30/1996"
"300","IL0490200",0.034,"mg/L",4,"12/31/2001"
"301","IL0315350",0.017,"mg/L",1,"12/31/1993"
"302","IL0315880",0.02,"mg/L",2,"09/30/1992"
"303","IL0315910",0.021,"mg/L",2,"09/30/1993"
"304","IL0313360",0.02,"mg/L",1,"09/30/1992"
"305","IL0316000",0.02,"mg/L",1,"12/31/1992"
"306","SC1830024",0.021,"mg/L",1,"12/31/2007"
"307","SC3050006",2.48,"mg/L",1,"12/31/2007"
"308","SC4220006",0.026,"mg/L",4,"12/31/2007"
"309","NM3501026",1.4,"mg/L",2,"12/31/2007"
"310","105300142",0.016,"mg/L",2,"12/31/2006"
"311","105300142",0.016,"mg/L",2,"12/31/2007"
"312","IL0115429",1.5,"mg/L",5,"06/30/2003"
"313","IL0190150",2.59,"mg/L",2,"09/30/1993"
"314","IL0190300",1.9,"mg/L",15,"12/31/2001"
"315","IL0190300",1.9,"mg/L",15,"06/30/1999"
"316","IL0190040",0.06,"mg/L",2,"12/31/1997"
"317","IL0190030",0.018,"mg/L",2,"03/31/1996"
"318","IL0190050",2.8,"mg/L",6,"03/31/2002"
"319","IL0190050",2.8,"mg/L",6,"03/31/2000"
"320","IL0110600",0.237,"mg/L",7,"09/30/1995"
"321","IL0515500",0.016,"mg/L",1,"09/30/1993"
"322","IL0530100",0.024,"mg/L",1,"12/31/2001"
"323","IL0530300",0.019,"mg/L",1,"12/31/1998"
"324","IL0530400",0.032,"mg/L",1,"03/31/1994"
"325","IL0810400",0.031,"mg/L",1,"09/30/1993"
"326","IL0110800",1.62,"mg/L",1,"09/30/1993"
"327","IL0111050",1.93,"mg/L",3,"09/30/1993"
"328","IL0155200",0.021,"mg/L",1,"09/30/1993"
"329","IL0155077",0.039,"mg/L",2,"12/31/1995"
"330","IL0755150",0.022,"mg/L",1,"03/31/1994"
"331","IL0312340",0.022,"mg/L",2,"12/31/1992"
"332","IL0312610",0.023,"mg/L",2,"03/31/1993"
"333","IL0312640",0.026,"mg/L",2,"03/31/1993"
"334","IL0312670",0.018,"mg/L",1,"09/30/1992"
"335","IL0312530",2.28,"mg/L",3,"09/30/1993"
"336","VT0020990",0.024,"mg/L",1,"12/31/2007"
"337","IL3005496",2.01,"mg/L",5,"06/30/2007"
"338","TN0000161",0.019,"mg/L",1,"12/31/2007"
"339","TN0002997",0.023,"mg/L",1,"12/31/2007"
"340","IL3131060",4.46,"mg/L",3,"06/30/2007"
"341","IL3150433",0.026,"mg/L",1,"06/30/2007"
"342","IL0190500",2.888,"mg/L",1,"09/30/1993"
"343","IL0190450",3,"mg/L",7,"09/30/1993"
"344","IL0190350",3.75,"mg/L",8,"03/31/1994"
"345","IL0230200",2.44,"mg/L",8,"09/30/1993"
"346","IL0310060",0.034,"mg/L",3,"09/30/1992"
"347","IL0310010",1.9,"mg/L",1,"12/31/1994"
"348","IL0250010",1.48,"mg/L",1,"09/30/1993"
"349","IL0310660",0.017,"mg/L",1,"09/30/1992"
"350","GA2910062",1.7,"mg/L",1,"12/31/2007"
"351","ME0092382",0.0194,"mg/L",1,"06/30/2007"
"352","GA3110098",2.65,"mg/L",2,"12/31/2009"
"353","ME0095010",0.113,"mg/L",2,"12/31/2007"
"354","ME0092383",8.6,"mg/L",6,"12/31/2007"
"355","083090049",0.045,"mg/L",2,"06/30/2007"
"356","ME0090320",0.018,"mg/L",1,"12/31/2007"
"357","ME0092355",0.081,"mg/L",2,"12/31/2007"
"358","ME0091360",2.7,"mg/L",8,"06/30/2007"
"359","GA2850131",3.23,"mg/L",3,"12/31/2007"
"360","ME0095240",2.2,"mg/L",5,"12/31/2007"
"361","TN0000290",0.019,"mg/L",1,"12/31/2007"
"362","AL0001203",1.41,"mg/L",1,"12/31/2007"
"363","GA0930002",0.0182,"mg/L",3,"12/31/2007"
"364","GA0770059",0.365,"mg/L",1,"12/31/2007"
"365","IL0195645",0.032,"mg/L",3,"09/30/1993"
"366","IL0195825",0.016,"mg/L",1,"12/31/1996"
"367","IL0830250",0.021,"mg/L",1,"12/31/2001"
"368","IL0850200",0.02,"mg/L",2,"03/31/1997"
"369","GA1230060",0.045,"mg/L",2,"12/31/2007"
"370","IL0270100",3.3,"mg/L",31,"12/31/1998"
"371","IL0270150",3.5,"mg/L",15,"06/30/2001"
"372","IL0210300",0.017,"mg/L",1,"09/30/1993"
"373","IL0210450",0.033,"mg/L",1,"03/31/1994"
"374","IL0210350",3.7,"mg/L",1,"09/30/1993"
"375","IL0194560",2.87,"mg/L",8,"03/31/1994"
"376","IL0191000",0.02,"mg/L",1,"12/31/1994"
"377","IL0190950",2.12,"mg/L",9,"09/30/1993"
"378","IL0190900",3.42,"mg/L",2,"03/31/1994"
"379","VT0005565",0.018,"mg/L",1,"12/31/2007"
"380","IL0270010",0.019,"mg/L",1,"12/31/1997"
"381","CO0145660",0.022,"mg/L",1,"12/31/2007"
"382","CO0101166",0.0285,"mg/L",1,"12/31/2007"
"383","CO0161001",2.14,"mg/L",1,"12/31/2007"
"384","IL0230050",4.8,"mg/L",25,"12/31/1997"
"385","IL0210600",0.017,"mg/L",2,"12/31/1993"
"386","IL0190700",2.72,"mg/L",2,"09/30/1993"
"387","IL0215189",0.024,"mg/L",1,"03/31/1994"
"388","IL0310750",0.02,"mg/L",1,"09/30/1993"
"389","IL0310810",0.025,"mg/L",1,"06/30/1992"
"390","IL0310780",0.027,"mg/L",3,"09/30/1992"
"391","IL0310840",0.021,"mg/L",2,"09/30/1992"
"392","IL0310930",0.019,"mg/L",2,"09/30/1993"
"393","IL0310960",0.016,"mg/L",1,"09/30/1992"
"394","IL0311020",0.024,"mg/L",2,"06/30/1992"
"395","IL0311140",0.018,"mg/L",1,"09/30/1992"
"396","CO0108350",0.0214,"mg/L",1,"12/31/2007"
"397","IL1950250",0.016,"mg/L",1,"12/31/1994"
"398","NJ1907002",1.5,"mg/L",2,"06/30/2016"
"399","NJ0263320",2.6,"mg/L",8,"12/31/2016"
"400","NJ1407318",3.88,"mg/L",9,"06/30/2016"
"401","NJ0339320",9.32,"mg/L",6,"06/30/2016"
"402","NJ1603304",0.018,"mg/L",2,"06/30/2016"
"403","IL1975210",0.018,"mg/L",1,"03/31/1994"
"404","MD0010030",0.021,"mg/L",1,"12/31/2004"
"405","MD0080031",0.027,"mg/L",1,"12/31/1995"
"406","101600015",0.016,"mg/L",2,"12/31/2018"
"407","AK2250134",1.538,"mg/L",2,"12/31/2014"
"408","AK2340222",2.55,"mg/L",8,"12/31/2015"
"409","AK2220170",2.81,"mg/L",3,"12/31/2015"
"410","IL1975360",0.019,"mg/L",1,"03/31/1994"
"411","IL1975465",0.022,"mg/L",2,"12/31/2002"
"412","NY1312152",0.06,"mg/L",1,"12/31/2016"
"413","AZ0407019",0.017,"mg/L",2,"12/31/2018"
"414","090605146",0.1076,"mg/L",3,"12/31/2016"
"415","090605149",0.074,"mg/L",3,"12/31/2016"
"416","AK2215524",0.0489,"mg/L",1,"12/31/2016"
"417","AK2213239",0.040965,"mg/L",1,"12/31/2016"
"418","AK2280302",2.65,"mg/L",4,"12/31/2016"
"419","090605128",0.043,"mg/L",5,"12/31/2011"
"420","PA6170024",0.0437,"mg/L",2,"09/30/2016"
"421","WI1570877",1.815,"mg/L",1,"09/30/2016"
"422","093200362",0.146,"mg/L",1,"12/31/2016"
"423","VT0006650",0.017,"mg/L",1,"12/31/2017"
"424","VT0005452",0.019,"mg/L",2,"12/31/2015"
"425","IA8215385",0.0264,"mg/L",1,"12/31/2016"
"426","CA5800805",0.75,"mg/L",2,"12/31/2016"
"427","CA4500149",3.25,"mg/L",4,"12/31/2016"
"428","CA4500163",2.23,"mg/L",4,"06/30/2000"
"429","PR0773027",0.018,"mg/L",1,"12/31/2015"
"430","PA3480506",0.044,"mg/L",1,"09/30/2016"
"431","PA3540053",0.0435,"mg/L",2,"09/30/2016"
"432","PA3540953",2.585,"mg/L",1,"09/30/2016"
"433","PA4050023",1.625,"mg/L",1,"09/30/2016"
"434","PA4050417",0.01615,"mg/L",2,"09/30/2016"
"435","PA4110001",0.0205,"mg/L",1,"09/30/2016"
"436","WI6100275",1.36,"mg/L",3,"09/30/2016"
"437","SC4050042",0.024,"mg/L",1,"12/31/2016"
"438","SC0220004",3,"mg/L",5,"12/31/2016"
"439","SC3250035",3.2,"mg/L",3,"12/31/2016"
"440","NC0392247",2.62,"mg/L",2,"12/31/2016"
"441","MI0000125",0.027,"mg/L",2,"12/31/2016"
"442","050593804",0.063,"mg/L",1,"06/30/2016"
"443","NY0616760",0.134,"mg/L",6,"06/30/2016"
"444","IN2710804",0.05,"mg/L",1,"12/31/2016"
"445","PA6200310",0.0183,"mg/L",2,"09/30/2016"
"446","PA6370041",0.01693,"mg/L",1,"09/30/2016"
"447","IL3137232",2.2,"mg/L",5,"12/31/2016"
"448","IL3150102",1.9,"mg/L",1,"12/31/2016"
"449","IL1670120",0.226,"mg/L",2,"12/31/2016"
"450","IL1350700",1.58,"mg/L",1,"12/31/2016"
"451","IL0735600",3.9,"mg/L",17,"12/31/2016"
"452","IL0890800",2.8,"mg/L",13,"12/31/2016"
"453","IL1115750",1.61,"mg/L",1,"12/31/2016"
"454","VT0021072",0.02,"mg/L",1,"12/31/2016"
"455","VT0021129",0.091,"mg/L",1,"06/30/2015"
"456","SC1110002",0.022,"mg/L",1,"12/31/2016"
"457","SC1510001",0.022,"mg/L",3,"12/31/2016"
"458","SC1570924",0.035,"mg/L",1,"12/31/2016"
"459","NY3304320",0.022,"mg/L",1,"12/31/2016"
"460","IL3045757",0.0255,"mg/L",1,"12/31/2016"
"461","IL3091769",0.016,"mg/L",2,"12/31/2016"
"462","090400002",0.063,"mg/L",1,"06/30/1993"
