"","PWSID","Maximum_sample_exceedence","Units","total_violations","SAMPLING_END_DATE"
"10510","CA1910006",2.86,"mg/L",7,"07/31/1993"
"10511","CA2000655",2.263,"mg/L",1,"01/31/1994"
"10512","CA2000840",3.4,"mg/L",1,"07/31/1993"
"10513","CA2010003",2.2,"mg/L",14,"01/31/1993"
"10514","CA2300605",1.79,"mg/L",6,"07/31/1993"
"10515","CA2300610",1.91,"mg/L",2,"01/31/1994"
"10516","CA2300804",3.57,"mg/L",5,"07/31/1993"
"10517","CA2310001",1.57,"mg/L",4,"06/30/1993"
"10518","CA2310006",1.69,"mg/L",2,"07/31/1992"
"10519","CA2310013",1.88,"mg/L",2,"07/31/1993"
"10520","CA2700523",2.8,"mg/L",6,"07/31/1993"
"10521","CA2700727",4.89,"mg/L",1,"07/31/1993"
"10522","CA2701254",1.4,"mg/L",1,"07/31/1993"
"10523","CA2701882",3.3,"mg/L",5,"07/31/1993"
"10524","CA2702098",1.665,"mg/L",1,"07/31/1993"
"10525","CA2710004",1.865,"mg/L",2,"07/31/1992"
"10526","CA2710009",1.53,"mg/L",5,"07/31/1992"
"10527","CA2710012",3,"mg/L",16,"07/31/1992"
"10528","CA2710703",1.59,"mg/L",1,"07/31/1992"
"10529","CA2810007",1.4,"mg/L",3,"01/31/1994"
"10530","CA2900563",1.93,"mg/L",1,"07/31/1993"
"10531","CA3010082",2.215,"mg/L",1,"06/30/1993"
"10532","CA3100058",3.25,"mg/L",1,"07/31/1993"
"10533","CA3100072",3.055,"mg/L",1,"07/31/1993"
"10534","CA3110001",1.4,"mg/L",4,"07/31/1994"
"10535","CA3210003",2.5,"mg/L",4,"01/01/1995"
"10536","CT0230021",3.75,"mg/L",4,"12/31/1993"
"10537","CT0250011",1.81,"mg/L",2,"06/30/1994"
"10538","CT0261053",4.3,"mg/L",17,"12/31/1993"
"10539","CT0261063",2.9,"mg/L",3,"06/30/1994"
"10540","CT0270041",3.31,"mg/L",7,"12/31/1997"
"10541","CT0309013",4.7,"mg/L",9,"12/31/1993"
"10542","CT0309023",1.6,"mg/L",1,"06/30/1997"
"10543","CT0320041",5.1,"mg/L",8,"12/31/1993"
"10544","CT0340141",1.67,"mg/L",2,"12/31/1993"
"10545","CT0340151",4.48,"mg/L",17,"12/31/1993"
"10546","CT0340171",1.9,"mg/L",2,"12/31/1998"
"10547","CT0340181",2.2,"mg/L",3,"06/30/1997"
"10548","CT0361011",2.3,"mg/L",4,"12/31/1993"
"10549","CT0363011",2.3,"mg/L",2,"12/31/1993"
"10550","MA1029000",0.14,"mg/L",2,"12/31/1993"
"10551","MA1033000",0.041,"mg/L",1,"12/31/2002"
"10552","CA2300705",0.025,"mg/L",3,"12/31/2003"
"10553","CA3301428",0.23,"mg/L",8,"12/31/2000"
"10554","CA3301534",0.033,"mg/L",9,"12/31/2000"
"10555","OK3006312",0.0219,"mg/L",1,"12/31/2017"
"10556","AK2243064",2.78,"mg/L",4,"07/01/1993"
"10557","AK2243103",4.15,"mg/L",10,"01/01/1994"
"10558","AK2244329",2.91,"mg/L",7,"07/01/1993"
"10559","AK2245058",3.775,"mg/L",10,"07/01/1999"
"10560","AK2245406",3.87,"mg/L",2,"01/01/1998"
"10561","AK2247490",6.42,"mg/L",4,"07/01/1993"
"10562","AK2250011",2.4,"mg/L",8,"07/01/1997"
"10563","ME0002809",0.022,"mg/L",2,"06/30/1995"
"10564","CT0721051",0.028,"mg/L",2,"12/31/1995"
"10565","MA1132000",0.016,"mg/L",1,"12/31/1993"
"10566","OR4105364",0.016,"mg/L",2,"06/30/1996"
"10567","ID6040042",2.8,"mg/L",2,"06/30/2007"
"10568","OR4191667",0.1279,"mg/L",2,"12/31/1993"
"10569","TX2290041",2.15,"mg/L",5,"12/31/1995"
"10570","CT0379023",1.54,"mg/L",4,"12/31/1993"
"10571","CT0389083",3.87,"mg/L",2,"12/31/1993"
"10572","CT0400552",2.01,"mg/L",1,"06/30/1994"
"10573","CT0420021",3.2,"mg/L",3,"06/30/1996"
"10574","CT0420031",1.97,"mg/L",4,"06/30/1998"
"10575","CT0420892",7.2,"mg/L",7,"06/30/1994"
"10576","CT0420912",3.5,"mg/L",8,"12/31/1993"
"10577","CT0427011",4.3,"mg/L",5,"12/31/1993"
"10578","CA1700561",0.027,"mg/L",6,"12/31/1998"
"10579","CA1700603",0.041,"mg/L",5,"12/31/2003"
"10580","CA1700627",0.035,"mg/L",4,"12/31/1997"
"10581","TX2410014",0.02,"mg/L",1,"12/31/1995"
"10582","MA1137000",0.017,"mg/L",1,"12/31/1992"
