"","PWSID","VIOLATION_CATEGORY_CODE","VIOLATION_STATUS","diff_days","total_violations"
"21898","CA4901259","MCL","Resolved",30,2
"21899","CO0115305","TT","Resolved",1495,4
"21900","CO0118060","TT","Resolved",29,4
"21901","CO0126158","TT","Resolved",1374,4
"21902","CO0145750","TT","Resolved",2623,378
"21903","CO0214400","TT","Unaddressed",391,2
"21904","CO0333790","TT","Resolved",2582,30
"21905","CT1020011","MCL","Resolved",29,4
"21906","CT1149044","MCL","Resolved",91,4
"21907","FL6290475","MCL","Resolved",90,4
"21908","FL6535436","MCL","Resolved",30,21
"21909","GA0670006","MCL","Archived",30,3
"21910","IA2576036","MCL","Resolved",91,8
"21911","IA4910000","MCL","Resolved",91,30
"21912","IA7048477","TT","Resolved",432,4
"21913","ID1280033","TT","Resolved",1831,4
"21914","ID1280108","TT","Resolved",2479,4
"21915","ID4080012","TT","Resolved",2175,4
"21916","ID5240013","TT","Unaddressed",1030,11
"21917","ID5240045","TT","Resolved",2445,8
"21918","ID7190069","TT","Resolved",2074,3
"21919","ID7220026","TT","Resolved",2241,4
"21920","IL0190300","MCL","Resolved",90,6
"21921","IL1470150","MCL","Resolved",89,6
"21922","IL1570010","TT","Resolved",91,4
"21923","IL1795345","TT","Resolved",1358,4
"21924","IL3015974","MCL","Archived",30,1
"21925","IL3085621","MCL","Resolved",30,4
"21926","IN2250849","TT","Resolved",1154,3
"21927","IN2370063","TT","Resolved",1363,3
"21928","IN2430991","TT","Resolved",789,3
"21929","IN2431105","MCL","Resolved",30,4
"21930","IN2431165","TT","Resolved",884,3
"21931","IN2460879","TT","Resolved",906,14
"21932","IN2492840","TT","Resolved",2489,25
"21933","IN2710137","MCL","Resolved",364,5
"21934","IN2810830","TT","Resolved",1154,3
"21935","IN2910022","TT","Resolved",1885,6
"21936","IN2910026","TT","Unaddressed",1306,3
"21937","IN2910153","TT","Resolved",2584,6
"21938","IN2910940","TT","Resolved",1123,3
"21939","IN5253007","MCL","Resolved",91,5
"21940","KY0330123","MCL","Resolved",90,4
"21941","KY0860141","MCL","Resolved",91,12
"21942","LA1003001","TT","Resolved",1664,19
"21943","LA1037010","TT","Resolved",1822,4
"21944","LA1079001","MCL","Resolved",30,8
"21945","LA1085021","TT","Resolved",1439,23
"21946","LA1085044","TT","Resolved",1303,274
"21947","LA1117023","TT","Addressed",1922,40
"21948","MA3078008","MCL","Archived",30,1
"21949","MA4334032","MCL","Resolved",30,2
