pwsid,total_samples,detection_share,concentration_avg,concentration_max,pfas_count
MA1289000,75,.039999999,.8561666756868362,4.259999990463257,2
MA1289001,126,.19047619,10.47485685348511,29.75499975681305,5
MA1289002,47,.29787233,1.890250027179718,3.448000013828278,5
MA1297006,18,0,0,0,0
MA1297007,36,0,0,0,0
MA1297008,18,0,0,0,0
MA1306001,36,0,0,0,0
MA1306003,18,0,0,0,0
MA1306004,78,.24358974,3.458933353424072,4.5,4
MA1306005,18,0,0,0,0
MA1306006,91,.010989011,.2833333313465118,1.700000047683716,1
MA1306008,18,0,0,0,0
MA1306009,18,0,0,0,0
MA1309000,180,.58888888,9.600712269544601,22.19899994134903,8
MA1309001,72,.069444448,1.273999989032745,2.745000004768372,2
MA1311000,95,.17894737,3.196381002664566,7.399999976158142,4
MA1311001,98,.13265306,1.13380554318428,2.25600004196167,3
MA1312010,18,0,0,0,0
MA1312012,72,.16666667,2.724749982357025,4.748999953269958,6
MA1313005,18,0,0,0,0
MA1319006,18,.33333334,7.779999971389771,7.779999971389771,6
MA1319007,18,0,0,0,0
MA1325000,165,.18181819,8.054744616150856,78.49999994039536,6
MA1326000,79,.16455697,.9476666748523712,1.720000028610229,3
MA1326005,18,0,0,0,0
MA1329000,1370,.3328467,81.28927918896079,439.1099995970726,7
MA1329004,103,.058252428,1.655166685581207,7.820000052452087,2
MA1329006,18,0,0,0,0
MA1329007,36,.16666667,13.0350005030632,15.09000009298325,3
MA1329009,18,.27777779,5.040000021457672,5.040000021457672,5
MA1331003,36,0,0,0,0
MA1331004,42,.23809524,3.900000035762787,8.019999951124191,6
MA1331007,18,0,0,0,0
MA1331009,18,0,0,0,0
MA1331010,18,0,0,0,0
MA1337000,36,0,0,0,0
MA1337010,122,.22131148,2.870833277702332,4.900000035762787,5
MA1337012,18,0,0,0,0
MA1339004,18,.055555556,1.799999952316284,1.799999952316284,1
MA1340000,75,.039999999,.2371428459882736,.5899999737739563,1
MA1340001,18,0,0,0,0
MA1341000,72,0,0,0,0
MA1341003,133,.052631579,5.191249996423721,41.52999997138977,7
MA1341004,72,.041666668,.4025000035762787,1.610000014305115,3
MA1341007,18,0,0,0,0
MA1341009,19,.052631579,.6499999761581421,1.299999952316284,1
MA1341010,148,0,0,0,0
MA1341011,6,0,0,0,0
MA1341012,6,0,0,0,0
MA1341016,18,0,0,0,0
MA1341024,6,0,0,0,0
MA1341028,18,.27777779,10.13999968767166,10.13999968767166,5
MA1345005,18,0,0,0,0
MA1345007,36,0,0,0,0
MA1345008,18,0,0,0,0
MA1349000,36,0,0,0,0
MA1349002,18,0,0,0,0
MA1349006,18,.33333334,28.80000019073486,28.80000019073486,6
MA2002000,1714,.48949826,38.18000196479261,152.1450018882751,13
MA2002002,18,.27777779,12.37699997425079,12.37699997425079,5
MA2002010,144,.38194445,36.85975021123886,41.38499999046326,7
MA2002014,177,.56497175,36.767508238554,49.57400017976761,7
MA2002017,48,.5,9.527000099420547,12.97200003266335,6
