pwsid,haa5,tthm,tthm_alt,haa5_alt,combined_dbp
070000003,0,7.1999998,1.6,,7.1999998
070000004,,,,,
070000005,.51899999,0,,,.51899999
070000006,,4.98,4.98,,4.98
070000007,6.0749998,9.7299995,9.7299995,2.03,15.804999
070000008,,,,,
070000013,16.5,63,,.63999999,79.5
070000014,,49.333332,43,,49.333332
070000017,,,,,
080890010,18.924999,62.549999,,,81.474998
083090002,1.2,1.1800001,1.1800001,,2.3800001
083090003,1,.61000001,.61000001,1,1.61
083090004,,,,,
083090005,0,,,,0
083090007,,,,,
083090008,,33,39.150002,,33
083090011,28.483334,42.799999,15.063334,11.2075,71.283333
083090012,,11,11,,11
083090014,,0,,,0
083090016,7.0999999,2.3199999,2.3199999,,9.4200001
083090021,,,,,
083090022,,,,,
083090023,.94,.285,.285,,1.225
083090025,,,,,
083090026,,,,,
083090027,.25999999,0,,.25999999,.25999999
083090028,,0,,,0
083090029,,0,,,0
083090030,,0,,,0
083090031,,,,,
083090032,,,,,
083090033,,0,,,0
083090034,,,,,
083090037,,.66000003,,,.66000003
083090038,,,,,
083090040,,,,,
083090041,64.63636,90.333336,112.44333,50.748001,154.9697
083090044,1.1,,,1.1,1.1
083090045,,0,,,0
083090047,,0,,,0
083090049,,.22,,,.22
083090050,68,48.75,10.1,,116.75
083090051,87,51.900002,51.900002,4.7924995,138.89999
083090052,19,,,15.413334,19
083090053,6.8000002,2.5,2.5,,9.3000002
083090057,16,29,29,16,45
083090058,23,22,28.300001,21.716667,45
083090061,5.6999998,17.4,,5.6999998,23.099998
083090062,41.299999,105.5,13.57,41.299999,146.8
083090063,,.85000002,.85000002,,.85000002
083090064,,5.8000002,4.5166664,,5.8000002
083090066,,0,,,0
083090067,0,10,,,10
083090072,,1.6,,,1.6
083090074,,8.5,2.5999999,,8.5
083090075,7.3333335,10,.145,13.453333,17.333334
083090079,11,.25,,11,11.25
083090090,30.666666,19,.88,23.200001,49.666664
083090091,30.299999,34,25.958334,30.460001,64.300003
083090301,.28999999,,,.28999999,.28999999
083090305,,,,,
083090309,,,,,
083090310,,1.7,,,1.7
083090311,,,,,
083890001,18.868,41.386665,,,60.254665
083890002,32.040001,73.905716,,,105.94572
083890003,39.07,82.047501,,,121.1175
083890007,17.498751,55.134998,,,72.633751
083890015,14.95,78.771667,,,93.721664
083890023,28.824211,65.044441,,,93.868652
083890025,,0,,,0
083890026,,16,,,16
083890029,5.2049999,,,,5.2049999
083890030,41.34111,67.084999,67.063332,30.345001,108.42611
084690020,4.5,2.47,,,6.9700003
084690021,0,24.4,,,24.4
084690022,1.4875,2.3499999,,,3.8374999
084690025,15,35.5,,,50.5
084690026,17.15,32.25,,,49.400002
084690029,15,,,,15
084690437,,35.099998,,,35.099998
084690439,0,,,,0
084690440,28.299999,56.662498,,,84.962494
084690441,23.747499,35.099998,,,58.847496
084690453,.1,,,,.1
084690460,,10.2,,,10.2
084690461,4.5,,,,4.5
084690462,8.4300003,,,,8.4300003
084690463,1.5599999,2.3699999,,,3.9299998
084690466,0,,,,0
084690468,16.700001,,,,16.700001
084690471,16.9,33.966667,,,50.866669
084690472,,34.700001,,,34.700001
084690474,7.1500001,5.5999999,,,12.75
084690475,15,,,,15
084690478,4.6900001,,,,4.6900001
084690480,4.5,4.0599999,,,8.5599995
084690498,0,5.8099999,,,5.8099999
084690510,23.74,37.669998,14.8,,61.409996
084690512,.56999999,3.1900001,,,3.76
084690516,13.795,15.826667,,,29.621666
084690528,.12666667,1.5,,,1.6266667
084690531,,.99000001,,,.99000001
084690532,14.33,,,,14.33
084690534,,79.099998,,,79.099998
084990002,0,15.3,,,15.3
084990003,1.5,,,,1.5
084990006,0,1.7,,,1.7
084990009,7.5,13.1,,,20.6
085690002,28.8125,28.377777,31.824667,35.775002,57.190277
085690003,24.501249,40.787498,49.450001,21.623333,65.28875
085690004,.5,2.9000001,2.9000001,,3.4000001
085690008,0,3.54,,,3.54
090400001,0,,,,0
090400003,2.2,6.9000001,.050000001,,9.1000004
090400004,,.64999998,,,.64999998
090400005,,0,,,0
090400008,,,,,
090400009,,0,,,0
090400013,,0,,,0
090400016,2.3,,,,2.3
090400018,2.9000001,,,,2.9000001
090400019,0,,,,0
090400020,0,,,,0
090400024,,,,,
090400026,,4.5,,,4.5
090400027,0,0,,,0
090400028,,,,,
090400029,0,,,,0
090400032,,8,8,,8
090400034,0,.80000001,,,.80000001
090400035,,2.75,,,2.75
090400036,0,0,,,0
090400037,,,,,
090400038,0,,,,0
090400040,0,0,,,0
090400041,,.62,,,.62
090400042,,11.895,,,11.895
090400047,1.0333333,2.95,,,3.9833333
090400051,6.1799998,38.927273,,,45.107273
090400054,0,0,,,0
090400057,0,2.0999999,2.0999999,,2.0999999
090400058,0,,,,0
090400060,0,2.1833334,,,2.1833334
090400063,,0,,,0
090400071,,68,,,68
090400076,0,0,,,0
090400086,,0,,,0
090400088,8.7749996,41.049999,,,49.824997
090400089,,,,,
090400090,10.822222,63.875,3.5999999,,74.69722
090400092,0,.5,.5,,.5
090400094,,32,,,32
090400096,0,0,,,0
090400100,,.5,.5,,.5
090400101,2,42,,,44
090400102,,0,,,0
090400104,6.8000002,2.1199999,,,8.9200001
090400105,0,0,,,0
090400106,0,0,,,0
090400107,0,0,,,0
090400108,1.25,0,,,1.25
090400109,4.3666668,4.0500002,,,8.416667
090400110,,0,,,0
090400112,,,,,
090400114,,,,,
090400116,0,10.15,,,10.15
090400117,3.0999999,7.7333331,5.5,,10.833333
090400118,0,6.9000001,,,6.9000001
090400119,.73333335,2.1500001,,,2.8833334
090400120,0,8.1999998,1,,8.1999998
090400206,,,,,
090400207,,25.799999,,,25.799999
090400208,2.5999999,,,,2.5999999
090400209,,,,,
090400215,,60,,,60
090400220,0,,,,0
090400226,0,,,,0
090400227,0,,,,0
090400228,0,8,,,8
090400229,,,,,
090400231,,4.1999998,,,4.1999998
090400233,4.6999998,7.9666667,1.3,,12.666666
090400234,4.5999999,26.950001,,,31.550001
090400237,,,,,
090400239,0,0,,,0
090400242,,,,,
090400243,0,,,,0
090400244,1.9,9.1999998,9.1999998,,11.099999
090400259,0,,,,0
090400260,0,0,,,0
090400273,,,,,
090400274,0,1.6,,,1.6
090400277,4.5,73,,,77.5
090400300,1.6,13,13,,14.6
090400301,2.925,3.4000001,,,6.3249998
090400302,5.6500001,50.5,1.9,,56.150002
090400304,,3.5999999,3.5999999,,3.5999999
090400316,0,.56666666,,,.56666666
090400320,2.0999999,,,,2.0999999
090400343,15.866667,31.933332,,,47.799999
090400345,,.85000002,.85000002,,.85000002
090400346,2.8,4.8000002,,,7.6000004
090400393,1.8,11,,,12.8
090400394,0,0,,,0
090400395,0,0,,,0
090400402,15.95,38.955555,11.55,,54.905556
090400673,6.977778,52.971428,.55000001,,59.949207
090400676,13.60146,8,,,21.60146
090400678,,13.9,33,,13.9
090400679,0,43,,,43
090400681,,,,,
090400687,0,0,,,0
090400688,,0,,,0
090400692,0,.69999999,,,.69999999
090400693,13.57,16.34,,,29.91
090400694,,4.9000001,,,4.9000001
090400695,0,54.25,,,54.25
090400698,0,.34999999,,,.34999999
090400700,0,0,,,0
090400703,.64999998,14.2,2.2,,14.849999
090400706,,4.4000001,,,4.4000001
090400707,0,97.800003,,,97.800003
090400708,,33.400002,,,33.400002
090401323,0,.60000002,.60000002,,.60000002
090402057,21.188889,104.64,,,125.82889
090403008,0,0,,,0
090403009,2.5999999,,,,2.5999999
090403010,,80.25,,,80.25
090403011,0,,,,0
090407149,.75714284,6.9000001,,,7.6571431
090408027,,,,,
090411311,,0,,,0
090600052,0,,,,0
090600056,,.5,.5,,.5
090600057,,,,,
090600058,39.299999,48,,,87.300003
090600059,,14,,,14
090600061,2.3,,,,2.3
090600118,7.7333331,33.799999,,,41.533333
090600119,6.4000001,35,2.1750002,,41.400002
090600120,0,3.2,,,3.2
090600121,,,,,
090600122,0,,,,0
090600125,1.5,,,,1.5
090600126,,7.9000001,,,7.9000001
090600127,0,,,,0
090600128,,.52999997,.52999997,,.52999997
090600129,0,,,,0
090600131,0,9.6000004,,,9.6000004
090600133,,,,,
090600134,0,17,,,17
090600135,15.1,,,,15.1
090600139,,10.13,,,10.13
090600142,0,,,,0
090600144,,,,,
090600145,0,7.0500002,,,7.0500002
090600146,,0,,,0
090600147,,1.9,1.9,,1.9
090600148,,150,,,150
090600151,,19,,,19
090600154,41,36.799999,,,77.800003
090600156,23.375,13.418333,,,36.793335
090600158,,18.700001,3.4000001,,18.700001
090600161,,21,,,21
090600190,,,,,
090600226,,16.299999,2.5999999,,16.299999
090600227,,,,,
090600237,4.8000002,,,,4.8000002
090600362,,0,,,0
090600601,0,,,,0
090600741,,2.9000001,2.9000001,,2.9000001
090605004,11,0,,,11
090605006,20,15.5,,,35.5
090605007,5.9499998,23.9,13.5,,29.849998
090605008,.76666665,,,,.76666665
090605011,,33.200001,,,33.200001
090605012,0,4.8000002,,,4.8000002
090605013,2,,,,2
090605014,,,,,
090605015,1,,,,1
090605019,,,,,
090605020,0,,,,0
090605021,0,,,,0
090605024,6.1999998,20.9,9.1000004,,27.099998
090605025,3.4000001,0,,,3.4000001
090605045,,2.0999999,2.0999999,,2.0999999
090605046,,1.3099999,,,1.3099999
090605047,,0,,,0
090605057,,0,,,0
090605060,0,23,.27500001,,23
090605062,,1.15,,,1.15
090605073,,,,,
090605074,,0,,,0
090605077,,,,,
090605080,13.5,21,,,34.5
090605083,,25.4,,,25.4
090605106,,,,,
090605107,,1.6,,,1.6
090605109,43.18,38.291668,,,81.471664
090605113,0,,,,0
090605115,,36.900002,,,36.900002
090605118,24.450001,52.630001,,,77.080002
090605119,,0,,,0
090605120,0,,,,0
090605124,0,,,,0
090605125,,0,,,0
090605126,30.5,13.3075,,,43.807499
090605128,0,,,,0
090605129,0,,,,0
090605130,,1.7,,,1.7
090605132,0,,,,0
090605136,31.25,180,,,211.25
090605142,2.55,,,,2.55
090605143,,0,,,0
090605144,,0,,,0
090605146,0,,,,0
090605149,,12.08,,,12.08
090605150,,0,,,0
090605153,1.8,9,,,10.8
090605154,,0,,,0
090605158,1.5,9.8225002,,,11.3225
090605159,,,,,
090605161,27.266666,64.666664,,,91.933334
090605163,10.7,,,,10.7
090605164,17.65,39.209999,,,56.860001
090605165,,0,,,0
090605174,9.3500004,1.3,,,10.650001
093200067,,0,,,0
093200162,,0,,,0
093200163,,0,,,0
093200166,1,19,,,20
093200168,0,0,,,0
093200169,0,3.2,,,3.2
093200200,0,4.6999998,,,4.6999998
093200359,,0,,,0
093200360,,0,,,0
093200362,2.7,,,,2.7
093200363,,.465,,,.465
093200364,,0,,,0
093200365,0,,,,0
093200366,0,,,,0
093200369,0,0,,,0
093200373,,,,,
093200374,,,,,
093200376,,79.699997,,,79.699997
093200379,5.3333335,5.5,,,10.833334
093500302,0,4.3000002,,,4.3000002
093500333,.68000001,8.6008596,,,9.2808599
093503036,0,7.3000002,,,7.3000002
093503042,0,,,,0
093534001,.55500001,,,,.55500001
093534002,,.70700002,,,.70700002
093534004,,,,,
093534005,18.35,35.049999,,,53.400002
093534006,,0,,,0
093534007,0,4.5,,,4.5
093534009,10.48,41.799999,,,52.279999
093534010,,2.7049999,,,2.7049999
093534012,,0,,,0
093534014,0,0,,,0
093534016,0,,,,0
093534018,0,0,,,0
093534020,0,1.2875,,,1.2875
093534021,1.1266667,7.7733335,,,8.9000006
093534022,0,0,,,0
093534024,0,0,,,0
100211202,63,25.4,23.6,50.666668,88.400002
101600001,0,1.45,1.45,,1.45
101600002,,,,,
101600003,,,,,
101600009,,,,,
101600015,,1.2466667,1.2466667,,1.2466667
101600016,0,7.3299999,1.08,,7.3299999
101611104,,0,,,0
101611105,1.11,,,1.11,1.11
101612108,,.51999998,.51999998,,.51999998
101612109,.52999997,.35333332,.35333332,.52999997,.88333333
101612110,0,.20333333,.20333333,,.20333333
104101100,,2.1599998,2.1599998,,2.1599998
104101101,,6.1999998,5.4500003,,6.1999998
104101102,,.5,.5,,.5
104101132,0,5.8600001,1.3399999,,5.8600001
104101133,,8.3999996,,,8.3999996
104101136,21.9,27.700001,5.46,22.883333,49.599998
104101247,13.956667,33.099998,22.666668,4,47.056664
104111101,0,1.6849999,1.6849999,,1.6849999
104121115,13.133333,15.493333,22.655416,20.24,28.626667
104121119,3.5799999,20.450001,20.450001,,24.030001
104121120,18.693335,50.166668,46.950001,18.693335,68.860001
104121121,25.630001,37.299999,,25.630001,62.93
104121124,,,,,
