pwsid,haa5,tthm,tthm_alt,haa5_alt,combined_dbp
KS2010313,7.0999999,28,,1.65,35.099998
KS2010315,0,57,,,57
KS2010316,,41,41,,41
KS2010317,20.68,31.758621,30.831083,21.833103,52.438622
KS2010318,17.5,29,29.649998,24.393333,46.5
KS2010319,23,30,51.600002,20.389999,53
KS2010320,.30000001,.92000002,.92000002,.30000001,1.22
KS2010321,19,48.5,33.275002,16.826668,67.5
KS2010323,17,24,16.049999,22.9,41
KS2010501,13,62,48.786667,9.7320004,75
KS2010502,8.8999996,17,.82999998,2.0999999,25.9
KS2010503,4.0549998,71.5,71.5,4.0549998,75.555
KS2010504,6.4499998,,,16.5,6.4499998
KS2010701,320,158.33333,167.8475,50.110001,478.33331
KS2010702,22.809999,27,8.4850006,22.809999,49.809998
KS2010703,49,49.75,40.537502,38.105,98.75
KS2010704,32.25,34.200001,51.450001,30.014763,66.449997
KS2010705,35,28,32.683334,32.279999,63
KS2010706,41,7.6999998,7.6999998,41,48.700001
KS2010707,33,54.691666,54.691666,90.724998,87.691666
KS2010708,29.983334,49,46.514999,34.760666,78.983337
KS2010709,37,41.75,114.89667,59.646667,78.75
KS2010711,19.5,19.25,60.333336,22.725,38.75
KS2010712,36,54.5,49.633335,49.881332,90.5
KS2010901,8.8999996,3.3,3.3,,12.2
KS2010903,.69,,,.69,.69
KS2011101,10,34.648335,34.648335,10.392238,44.648335
KS2011102,10,65,4.1800003,7.3499999,75
KS2011103,8.0500002,6,5.2800002,20.299999,14.05
KS2011105,3.0333452,.34181818,.34181818,3.0333452,3.3751633
KS2011107,6.8150001,2.3,2.3,6.8150001,9.1149998
KS2011108,2.6666667,140,3.9000001,2.6666667,142.66667
KS2011109,5.96,51.299999,6.6620002,5.96,57.259998
KS2011110,5.0200005,1.7516667,1.7516667,5.0200005,6.771667
KS2011111,13,21.809999,21.809999,12.544167,34.809998
KS2011112,42.5,47,1.28,7.0999999,89.5
KS2011113,1.45,39,.81,1.45,40.450001
KS2011114,15.8,34.333332,2.3,15.8,50.133331
KS2011301,.87,9.8000002,9.8000002,.87,10.67
KS2011302,,13.5,2.8499999,,13.5
KS2011304,1.6,9.8500004,7.3249998,1.6,11.450001
KS2011305,1.9,2.1400001,2.1400001,1.9,4.04
KS2011306,,.62,.62,,.62
KS2011307,5.3000002,.80000001,.80000001,1.7,6.1000004
KS2011308,0,1.2,1.2,,1.2
KS2011309,1.6666666,3.6304998,3.6304998,1.6666666,5.2971663
KS2011310,1.58,9.8000002,9.3500004,1.58,11.38
KS2011312,1.655,9.5,7.5999999,1.655,11.155
KS2011313,.48500001,7.6999998,.20333333,.48500001,8.1849995
KS2011314,.82999998,16,4.9000001,.82999998,16.83
KS2011315,.82999998,6.0999999,.94999999,.82999998,6.9299998
KS2011501,.81,2,2,.81,2.8099999
KS2011502,,.60000002,.60000002,,.60000002
KS2011503,21.120001,58.09,39.630001,17.390476,79.209999
KS2011504,.91000003,4.5333333,4.5333333,.91000003,5.4433331
KS2011505,34.799999,57.142857,43.521427,26.938036,91.942856
KS2011506,1.5,1.2,1.2,1.5,2.7
KS2011507,7.835,22.8375,10.502501,7.835,30.672501
KS2011508,.52999997,7.8000002,1.9,.52999997,8.3299999
KS2011509,15.625,70.5,48.124996,23.294823,86.125
KS2011510,.58999997,3.9899998,3.9899998,.58999997,4.5799999
KS2011511,.93000001,2.55,2.55,.93000001,3.48
KS2011512,7.5500002,11.7,23.25,3.138,19.25
KS2011701,3,17,10.9,3,20
KS2011702,,1.3,1.3,,1.3
KS2011703,5.5,19.549999,14,2.6900001,25.049999
KS2011704,19.453333,38,35.245831,19.453333,57.453331
KS2011706,3.5925002,4.6999998,,3.5925002,8.2924995
KS2011707,,3,3,,3
KS2011708,.58999997,7.3000002,4.5666666,.58999997,7.8900003
KS2011710,.89999998,3.4000001,3.4000001,.89999998,4.3000002
KS2011711,,2.4000001,2.4000001,,2.4000001
KS2011712,,2.0999999,2.0999999,,2.0999999
KS2011713,6.6999998,6.1999998,6.1999998,4.1999998,12.9
KS2011901,5,17,18.733334,1.3,22
KS2011902,,1.5,1.5,,1.5
KS2011903,.255,7.6999998,5.6999998,.255,7.9549999
KS2012101,15.66,33,32.78989,17.618523,48.66
KS2012102,14,65,52.524876,29,79
KS2012103,38.98,37.002251,50.10228,29.461666,75.982254
KS2012104,20.833334,72,91.466667,44.271664,92.833336
KS2012105,46,52.125,68.496002,45.981667,98.125
KS2012106,40.666668,31,54.521442,24.731668,71.666672
KS2012107,11.496666,51,55.5,11.496666,62.496666
KS2012108,15.5,18.333334,27.040001,15.884001,33.833336
KS2012109,18,44,34.099998,5,62
KS2012301,32.799999,77.237503,74.739822,42.60083,110.03751
KS2012302,29,71,82.199997,28.833332,100
KS2012303,17,69.5,38.25,11.283333,86.5
KS2012304,19.783333,77.463997,82.548332,21.096905,97.24733
KS2012305,,4.9000001,4.9000001,,4.9000001
KS2012306,16.049999,50,22,16.049999,66.050003
KS2012307,,10.1,10.1,,10.1
KS2012309,33.529999,112.5,101.76111,25.375595,146.03
KS2012310,22.880001,160,45,22.880001,182.88
KS2012501,11.809999,21.401201,21.401201,11.809999,33.211201
KS2012504,26.874998,41,32.099998,26.874998,67.875
KS2012505,17,31,4.0999999,19.1,48
KS2012506,28,59.5,11.716666,33.534996,87.5
KS2012507,31,6.4000001,6.4000001,1.6,37.400002
KS2012508,36.855,46.607143,48.259521,38.584038,83.462143
KS2012509,36.5,49.5,17.686666,19.521667,86
KS2012511,22.93,40,11,22.93,62.93
KS2012512,27.5,38.25,1.45,11.03,65.75
KS2012513,25.120001,41.900002,44.751663,26.465281,67.020004
KS2012516,29.5,40,37.450001,6.9166665,69.5
KS2012517,10.18,77.333336,55.053555,11.683001,87.513336
KS2012519,42.5,105.66666,69.400002,28.559999,148.16666
KS2012520,119.48,149.5,135.37857,124.87817,268.98001
KS2012521,19.253332,30.200001,34.349998,19.253332,49.453331
KS2012524,105.3,49,49,105.3,154.3
KS2012525,34.459999,44,53.424999,66.025002,78.459999
KS2012526,18.5,43.666668,40.673332,23.310286,62.166668
KS2012701,17,4.5,4.5,12.7,21.5
KS2012702,5.3499999,23.4,2.1071794,5.6716661,28.75
KS2012703,6.0999999,16.700001,13.65,3.9000001,22.800001
KS2012704,6,32.766666,25.704525,10.404167,38.766666
KS2012705,2,4.5999999,4.5999999,2,6.5999999
KS2012901,0,4.0500002,4.0500002,,4.0500002
KS2012902,0,2.2150002,2.2150002,,2.2150002
KS2013101,24.533333,45.200001,46.450001,23.614664,69.733337
KS2013102,1.51,,,1.51,1.51
KS2013103,,15.5,15.5,,15.5
KS2013104,,3.6466665,3.6466665,,3.6466665
KS2013105,,0,,,0
KS2013106,2.5999999,0,,2.5999999,2.5999999
KS2013107,1.2,,,1.2,1.2
KS2013108,4,8.3000002,8.3000002,4,12.3
KS2013110,3.5999999,2.97,2.97,3.5999999,6.5699997
KS2013111,3.5,3.5,3.5,3.5,7
KS2013112,1.75,33,33,1.75,34.75
KS2013301,32,63,52.334999,39.366665,95
KS2013302,210,67.5,19.0725,30.848333,277.5
KS2013303,29.5,80,60.945999,26.200001,109.5
KS2013305,76.274994,90,48.633335,76.274994,166.27499
KS2013307,44.777779,28.361538,17.098145,43.004498,73.139313
KS2013308,38.5,28,74.75,31.724998,66.5
KS2013309,35,85.5,57.990002,35.116665,120.5
KS2013310,28.6,63,55.039291,31.671785,91.599998
KS2013312,79.199997,120,103.35285,60.020004,199.2
KS2013314,44.666668,41.5,96.499992,34.026665,86.166672
KS2013315,14,14,14,14,28
KS2013316,48,57.333332,45.755001,47.793331,105.33333
KS2013317,30,56,27.264999,.96666664,86
KS2013320,8.8999996,,,8.8999996,8.8999996
KS2013321,49.5,41,55.466667,49.133331,90.5
KS2013322,36.333332,60.75,54.02,34.345833,97.083328
KS2013501,6.6499996,40,30.866665,6.6499996,46.650002
KS2013502,9,45,45,11.8,54
KS2013503,20,16.299999,16.299999,14,36.299999
KS2013504,16,56.666668,21.0825,3.6499999,72.666672
KS2013505,0,48,26.700001,,48
KS2013506,1.2,6.4000001,6.4000001,1.2,7.6000004
KS2013701,4.9000001,11,,,15.9
KS2013702,41.799999,93.25,83.227264,36.063889,135.05
KS2013703,.69,,,.69,.69
KS2013704,14,29,24.299999,9,43
KS2013705,,.80000001,.80000001,,.80000001
KS2013706,3.3,21.65,21.65,,24.949999
KS2013901,35.5,53.25,52.275997,7.71,88.75
KS2013902,29,51,4,4.25,80
KS2013903,0,1.2,1.2,,1.2
KS2013904,21,67.666664,21.683334,6.6333332,88.666664
KS2013905,69,61,68.699997,38.670002,130
KS2013906,17.333334,43,31.866667,7.3000002,60.333336
KS2013907,28.166666,47.666668,39.433331,30.761,75.833336
KS2013910,49.57143,49.333332,49.484692,31.634762,98.904762
KS2013911,14.68,32,45.809334,13.233334,46.68
KS2013912,,8.6999998,,,8.6999998
KS2013913,58,48,48,10.58,106
KS2013914,48.5,35.859001,43.271786,19.914068,84.359001
KS2013915,21,32,38.966663,21,53
KS2013917,10,101.33334,147.46666,88.313339,111.33334
KS2013918,52.75,14.55,14.55,52.75,67.300003
KS2013919,28.666666,53.830002,53.830002,26.324583,82.496666
KS2014101,1.6900001,1.6,1.6,1.6900001,3.29
KS2014102,9.9366665,43.5,2.4100001,9.9366665,53.436668
KS2014103,8.6000004,11.753333,11.753333,12.768667,20.353333
KS2014104,10.3,11.433333,11.433333,10.3,21.733334
KS2014105,9.4866657,93.5,56.841667,9.4866657,102.98666
KS2014106,19,64.5,60.376667,1.6666666,83.5
KS2014107,39,75.599998,75.599998,45.400002,114.6
KS2014301,2.4549999,1.845,1.845,2.4549999,4.3000002
KS2014302,6.6999998,2.0700002,2.0700002,2.2750001,8.7700005
KS2014303,3.2449999,48,19.1,3.2449999,51.244999
KS2014304,1.6,18,6.0999999,1.6,19.6
KS2014305,5.9499998,.57999998,.57999998,5.9499998,6.5299997
KS2014306,5.8499999,39,13.95,5.8499999,44.849998
KS2014307,7.1550002,2.75,2.75,7.1550002,9.9050007
KS2014501,.45333335,0,,.45333335,.45333335
KS2014502,10.4,49,13,10.4,59.400002
KS2014503,7,38.68,38.68,1.3,45.68
KS2014505,4.1599998,15,15,4.1599998,19.16
KS2014701,.74000001,6.1999998,5.4000001,.74000001,6.9399996
KS2014702,4.1999998,10.95,10.95,,15.15
KS2014703,4.6500001,1.87,1.87,,6.52
KS2014704,3.9499998,17,13,3.9499998,20.950001
KS2014705,52,2.5,2.5,.405,54.5
KS2014706,26,51.5,52.650002,12.265,77.5
KS2014707,6.8299999,1.5699999,1.5699999,6.8299999,8.3999996
KS2014708,,1.2,1.2,,1.2
KS2014709,3.4033334,5.5900002,5.5900002,3.4033334,8.9933338
KS2014901,6.4000001,3.5,3.5,6.4000001,9.8999996
KS2014902,.88,6.5500002,6.5500002,.88,7.4300003
KS2014903,1.2,,,1.2,1.2
KS2014904,.98000002,19,14.500001,.98000002,19.98
KS2014905,5.1999998,3.9000001,,3.0599999,9.1000004
KS2014906,1.95,2.6500001,2.6500001,1.95,4.6000004
KS2014907,0,26.699999,26.699999,,26.699999
KS2014908,7.9000001,12.049999,12.049999,9.6000004,19.949999
KS2014909,.28,8.8999996,8.8999996,.28,9.1799994
KS2014910,,1.4,1.4,,1.4
KS2014912,1.085,.95499998,.95499998,1.085,2.04
KS2014914,13,17,17,8.4499998,30
KS2014916,0,11,11,,11
KS2014917,2.9000001,2.26,2.26,,5.1599998
KS2014918,.70999998,,,.70999998,.70999998
KS2014922,2.0999999,16,7.7000003,2.0999999,18.1
KS2014923,,,,,
KS2015101,1.2,2.5999999,2.5999999,1.2,3.8
KS2015102,.69,1.3,1.3,.69,1.99
KS2015103,0,13.5,7.6000004,,13.5
KS2015104,.94,6.0999999,2.4100001,.94,7.04
KS2015105,1.79,3.3,3.3,1.79,5.0900002
KS2015107,.69,13.2,13.2,.69,13.889999
KS2015301,23,28.324999,28.324999,1.275,51.324997
KS2015302,3.3333333,10.6,10.6,3.3333333,13.933333
KS2015303,,,,,
KS2015501,2.5,.75,.75,,3.25
KS2015502,4.8000002,1.8,1.8,,6.6000004
KS2015503,1.52,,,1.52,1.52
KS2015504,.255,1.1,1.1,.255,1.355
KS2015505,3.8099999,4.5999999,4.5999999,3.8099999,8.4099998
KS2015506,4.3000002,0,,,4.3000002
KS2015508,,0,,,0
KS2015509,6.1444445,21.344,23.888571,6.2064285,27.488445
KS2015510,.56,,,.56,.56
KS2015511,1.7,8.4499998,,1.7,10.15
KS2015512,,0,,,0
KS2015513,7.0700002,17.5,17.5,7.0700002,24.57
KS2015514,1.1966667,1.73,1.73,1.1966667,2.9266667
KS2015516,8.1999998,21,17.200001,1.9,29.200001
KS2015517,15,,,8.3999996,15
KS2015518,1.4,.75,.75,1.4,2.1500001
KS2015519,8.3999996,,,8.3999996,8.3999996
KS2015520,,,,,
KS2015701,,3.8466666,3.8466666,,3.8466666
KS2015702,12.55,21.333334,25.4,12.55,33.883335
KS2015703,11,31,8.1000004,1.2,42
KS2015704,0,4.4000001,4.4000001,,4.4000001
KS2015705,1.6,11.4,8.7999992,1.6,13
KS2015707,1.5699999,5.1999998,5.1999998,1.5699999,6.7699995
KS2015708,1.45,,,1.45,1.45
KS2015709,15,19,16.65,,34
KS2015710,3.9899998,25,1.7,3.9899998,28.99
KS2015711,3.9550002,5.6999998,4.4299998,3.9550002,9.6549997
KS2015901,,17,.76999998,,17
KS2015902,.345,18.18,18.18,.345,18.525
KS2015903,1.46,28,28,1.46,29.459999
KS2015904,5.3499999,2.03,2.03,4.4400001,7.3800001
KS2015905,,.98000002,.98000002,,.98000002
KS2015906,,,,,
KS2015907,1.8200001,.75999999,.75999999,1.8200001,2.5799999
KS2015908,6.75,,,,6.75
KS2016102,.95999998,1.4,1.4,.95999998,2.3599999
KS2016103,14,8.8100004,8.8100004,14,22.810001
KS2016106,25,43,14.65,8.8000002,68
KS2016109,13,9.1000004,9.1000004,,22.1
KS2016112,12.177273,25.428572,24.429543,11.42981,37.605843
KS2016117,,8.1000004,,,8.1000004
KS2016118,2.75,17,17,2.75,19.75
KS2016119,.68000001,,,.68000001,.68000001
KS2016120,0,,,,0
KS2016124,2.73,2.9849999,2.9849999,2.73,5.7150002
KS2016126,11,22,3.4000001,11,33
KS2016128,5.0999999,11,4,.56,16.1
KS2016134,13,6.0500002,6.0500002,,19.049999
KS2016135,11.533334,16.799999,16.799999,14.25,28.333332
KS2016136,16,,,11.1,16
KS2016301,20,77.333336,30.133333,17.283333,97.333336
KS2016302,.79000002,18,21.35,.79000002,18.790001
KS2016303,5.5500002,7.8699999,7.8699999,5.5500002,13.42
KS2016304,18.35,90.5,63.316666,14.566667,108.85
KS2016305,7.4500003,18,18,7.4500003,25.450001
KS2016306,5.9000001,13.2,13.2,3.5599999,19.1
KS2016307,.67000002,4.6999998,4.6999998,.67000002,5.3699999
KS2016308,12,16.35,16.35,,28.35
KS2016501,1.1,.97000003,.97000003,1.1,2.0700002
KS2016502,3,4.3000002,4.3000002,3,7.3000002
KS2016503,1.9499999,6.6500001,24,1.9499999,8.6000004
KS2016504,3.0999999,1.45,1.45,,4.5500002
KS2016505,,,,,
KS2016506,7.9000001,30.5,5.5999999,4.6999998,38.400002
KS2016507,15,53,8,2.0599999,68
KS2016508,1.25,,,1.25,1.25
KS2016509,.40000001,,,.40000001,.40000001
KS2016701,130,69,57.349998,20.800001,199
KS2016702,5.0500002,19,,3.5,24.049999
KS2016703,7.1333332,53.653687,44.94722,12.165759,60.787018
KS2016704,2.8199999,68,14.2,2.8199999,70.82
KS2016705,14,12.43,12.43,17.220001,26.43
KS2016706,5.6500001,15.5,,5.6500001,21.15
KS2016707,,18,18,,18
KS2016708,75,41,43.650002,29.316668,116
KS2016709,95,95,22.5,23.4,190
KS2016710,,4.9000001,4.9000001,,4.9000001
KS2016711,13.791666,81.5,19.075001,13.791666,95.291664
KS2016712,2.0999999,12.700001,12.700001,2.0999999,14.800001
KS2016713,20.5,119,40.599998,20.5,139.5
KS2016901,2.25,5.8549995,5.8549995,,8.1049995
KS2016902,5.3199997,9.6333332,9.6333332,5.3199997,14.953333
KS2016904,7.5,53,25.5,15.92,60.5
KS2016906,.56999999,1.5,1.5,.56999999,2.0699999
KS2016909,,,,,
KS2016910,0,8.1000004,8.1000004,,8.1000004
KS2016911,2.9099998,0,,2.9099998,2.9099998
KS2016912,81,71.800003,32.326668,28.766666,152.8
KS2016913,.55000001,22,5.5500002,.55000001,22.549999
KS2016914,28.560869,61.153847,57.800003,30.630888,89.714714
KS2016916,,3.9000001,,,3.9000001
KS2016917,10,54,31.4,6.5666666,64
KS2016918,9.54,2,2,9.54,11.54
KS2017101,,11.6,13.200001,,11.6
KS2017303,5.6700001,16,12.1,5.6700001,21.67
KS2017304,5.4000001,22,10.906,4.3000002,27.4
KS2017306,10.4,29.5,26.450001,4.9700003,39.900002
KS2017308,10.718605,24.943575,25.707489,10.694081,35.662178
KS2017312,3.6699998,,,3.6699998,3.6699998
KS2017313,,3.46,3.46,,3.46
KS2017315,14,21.25,23.716665,10.241667,35.25
KS2017316,10.5,25.333334,27.949999,6.895,35.833336
KS2017318,11.75,33.967499,24.02,9.7449999,45.717499
KS2017319,2.0999999,13,,2.0999999,15.1
KS2017322,2.14675,11.645308,12.723993,2.14675,13.792057
KS2017323,.75,17.799999,16.33,.75,18.549999
KS2017325,3.5,23.73,23.73,3.5,27.23
KS2017327,1.52,3.4649999,3.4649999,1.52,4.9849997
KS2017328,13.095,26.631578,28.01466,12.435953,39.726578
KS2017329,7.5,7.5999999,23.800001,1.6,15.1
KS2017334,11.55,26.532,20.283333,11.55,38.082001
KS2017338,2.6500001,3.4000001,3.4000001,2.6500001,6.0500002
KS2017339,5.5,4.3000002,4.3000002,1.4,9.8000002
KS2017341,2.6500001,12.333333,8.3999996,2.6500001,14.983334
KS2017342,0,5.1500001,1.5,,5.1500001
KS2017344,1.6,19.700001,,1.6,21.300001
KS2017345,.83000004,5.9000001,8.3800001,.83000004,6.73
KS2017347,5.6999998,8.5,5.5,,14.2
KS2017503,2.3,1.9,1.9,2.3,4.1999998
KS2017504,.35454544,8.2399998,1.9092858,.35454544,8.5945454
KS2017505,0,,,,0
KS2017506,0,,,,0
KS2017701,44.64909,46.360607,50.291386,58.601665,91.009697
KS2017704,50.628571,45.775002,3.7,,96.403572
KS2017708,44,50.84,55.014286,14.454667,94.839996
KS2017712,1.7,25,19.299999,1.7,26.700001
KS2017713,5.6666665,19,8.4499998,3.8899999,24.666666
KS2017714,2.3,30,11.89,2.3,32.299999
KS2017717,49.619999,46.360001,47.240669,56.976665,95.979996
KS2017718,7.4714284,12.7445,16.497723,10.971151,20.215929
KS2017901,8.6499996,40,13.950001,.69999999,48.650002
KS2017902,,.33000001,.33000001,,.33000001
KS2018101,,.76999998,.76999998,,.76999998
KS2018102,1.725,2.8800001,2.8800001,1.725,4.605
KS2018301,37,78.933334,78.933334,25.75,115.93333
KS2018302,14.5,12,77.794998,6.4166665,26.5
KS2018303,17,62.799999,49.172501,13.761666,79.800003
KS2018304,15,28,7.5999999,2.5,43
KS2018305,7,23,21.35,,30
KS2018501,.99249995,5.5999999,3.02,.99249995,6.5924997
KS2018502,2.9266667,28.549999,44.666668,2.9266667,31.476665
KS2018503,0,3.2,3.2,,3.2
KS2018701,.44499999,3.8,,.44499999,4.2449999
KS2018702,.93000001,4.0999999,4.0999999,.93000001,5.0299997
KS2018901,8,3.0550001,3.0550001,1.8,11.055
KS2018902,1.55,1.9,1.9,1.55,3.4499998
KS2019101,.30500001,.69833332,.69833332,.30500001,1.0033333
KS2019102,1.2,46,32.91,1.2,47.200001
KS2019103,17.5,55.387001,55.387001,16.65,72.887001
KS2019104,5.0500002,24.5,10.6,4.4000001,29.549999
KS2019105,20.5,58,45.828331,17.688334,78.5
KS2019106,3.0999999,66,29.799999,3.0999999,69.099998
KS2019107,31,65,44.650002,25.733334,96
KS2019109,,0,,,0
KS2019110,16.133333,31,4.5999999,21.584999,47.133331
KS2019111,8.8000002,32,24.1,7,40.799999
KS2019112,,0,,,0
KS2019113,17.25,39,39.159996,18.375002,56.25
KS2019114,2.5,,,2.5,2.5
KS2019115,1.65,5.9666667,5.9666667,1.65,7.6166668
KS2019116,1.7,.99000001,.99000001,1.7,2.6900001
KS2019117,7.4066668,9.6333332,9.6333332,7.4066668,17.040001
KS2019118,2.7,,,,2.7
KS2019119,22.033333,62.200001,66.29879,23.682144,84.233337
KS2019120,8.5,27.9,27.9,8.5,36.400002
KS2019302,1,23,5.5500002,1,24
KS2019303,,,,,
KS2019304,0,,,,0
KS2019501,5.8000002,10,10.4,4.0699997,15.8
KS2019502,7.8000002,27,11.5,4.5,34.799999
KS2019503,4.4000001,,,4.4000001,4.4000001
KS2019504,1.25,15,,1.25,16.25
KS2019701,25,27,30.668175,17.5,52
KS2019702,13,5.4000001,5.4000001,3.075,18.4
KS2019703,19,39,26,18.014286,58
KS2019704,24.25,164.5,66.51667,42.435429,188.75
KS2019705,2.6299999,,,2.6299999,2.6299999
KS2019706,2,38,9.9499998,2,40
KS2019707,1.35,6.6999998,6.6999998,1.35,8.0500002
KS2019708,7.1999998,8.9333334,,,16.133333
KS2019711,3.3499999,43,25,3.3499999,46.349998
KS2019712,12.5,29,1.6,12.5,41.5
KS2019901,,3.77,3.77,,3.77
KS2019902,2.8,8.3000002,2.7,2.8,11.1
KS2019903,.34166667,2.9049997,2.9049997,.34166667,3.2466664
KS2020101,,3.3800001,3.3800001,,3.3800001
KS2020102,1.0600001,4,4,1.0600001,5.0599999
KS2020103,,6.5,,,6.5
KS2020104,.24666667,,,.24666667,.24666667
KS2020105,2.99,,,2.99,2.99
KS2020106,3.1900001,2.26,2.26,3.1900001,5.4499998
KS2020107,6.0249996,20.299999,20.299999,6.0249996,26.324999
KS2020108,,8.1000004,23.6,,8.1000004
KS2020109,6.5,1.8,1.8,3.3,8.3000002
KS2020110,0,2.8,2.8,,2.8
KS2020113,.71499997,1.37,1.37,.71499997,2.085
KS2020301,6.5999999,4.3299999,4.3299999,1.5666667,10.93
KS2020501,76,30.299999,30.299999,12.535,106.3
KS2020502,34,32.18182,34.228073,32.797222,66.181824
KS2020503,1.4,2.0999999,2.0999999,1.4,3.5
KS2020504,12,44.362,44.362,39.431667,56.362
KS2020505,7.5,23.6,23.6,7.5,31.1
KS2020506,21,30,35.700001,21,51
KS2020507,83,32,32,21.42,115
KS2020508,25,220,97.445,154.43333,245
KS2020510,77.572731,136.14285,54.963142,40.452976,213.71558
KS2020511,46,92,83.576668,68.431992,138
KS2020512,23,98,50.290001,25.933334,121
KS2020513,42,94,84.537102,33.517002,136
KS2020514,40.75,47.5,64.349998,14.82,88.25
KS2020515,62,55.5,73.566666,29.5375,117.5
KS2020516,71,59,71.800003,77.866669,130
KS2020519,28.333334,86,67.759995,43.013332,114.33334
KS2020524,16.299999,13.1,13.1,16.299999,29.4
KS2020701,21.9,20,15,21.9,41.900002
KS2020702,27.666666,23.862,23.806389,24.53368,51.528664
KS2020703,50.333332,39,53.833332,47.494003,89.333328
KS2020904,24.5,27.666666,33.243332,19.4,52.166664
KS2020906,17.129545,30.962963,9.5500002,,48.092506
KS2100906,2.5999999,6.5999999,,2.5999999,9.1999998
KS2100910,12,16.75,16.75,8.1000004,28.75
KS2100913,,1.3,1.3,,1.3
KS2102102,8.1999998,1.91,1.91,,10.11
KS2104105,1.3,1.75,1.75,1.3,3.05
KS2104506,,34,3.5999999,,34
KS2105105,14.5,29,19.466667,3.1300001,43.5
KS2105313,,.54000002,.54000002,,.54000002
KS2105518,3.9000001,.68000001,.68000001,3.9000001,4.5799999
KS2105519,6.8000002,,,,6.8000002
KS2105524,6.6100001,,,6.6100001,6.6100001
KS2105525,0,,,,0
KS2105526,.94,23.700001,23.700001,.94,24.640001
KS2105528,0,.81,.81,,.81
KS2105538,,0,,,0
KS2105716,4.1999998,8.8000002,.86000001,4.1999998,13
KS2105718,.99833333,1.2,1.2,.99833333,2.1983333
KS2105720,.87,,,.87,.87
KS2106304,0,,,,0
KS2106711,.45500001,4.8000002,,.45500001,5.2550001
KS2106902,2.0999999,0,,,2.0999999
KS2107902,5.6999998,,,5.6999998,5.6999998
KS2107904,0,,,,0
KS2111311,,,,,
KS2111501,1,1.23,1.23,1,2.23
KS2112902,5.6999998,12,12,5.6999998,17.700001
KS2115101,6.6999998,10,10,6.6999998,16.700001
KS2115105,0,,,,0
KS2115106,5.1999998,.98000002,.98000002,.60000002,6.1799998
KS2115513,,1.61,1.61,,1.61
KS2115514,.54000002,41,.52999997,.54000002,41.540001
KS2115517,,0,,,0
KS2115905,.31333333,0,,.31333333,.31333333
KS2116115,16,49.5,,3,65.5
KS2116905,,8.1000004,4.5999999,,8.1000004
KS2117313,,.66000003,.66000003,,.66000003
KS2117314,15.294001,56.5,31.066666,15.294001,71.793999
KS2117330,.89999998,,,.89999998,.89999998
KS2117334,1.8,1.5,1.5,1.8,3.3
KS2117354,98,16.15,16.15,1.63,114.15
KS2117502,.95999998,1,1,.95999998,1.96
KS2117503,,,,,
KS2117703,97,55,55.953335,53.000999,152
KS2118101,,.32499999,.32499999,,.32499999
KY0011016,39.07143,32.607693,,,71.679123
KY0020386,29.125,38.871429,,,67.996429
KY0020956,38.18182,64.75,,,102.93182
KY0030239,40.073334,51.025806,,,91.099136
KY0030660,27.333334,51.828571,,,79.161903
KY0040020,0,,,,0
KY0040223,1.6,11.45,,,13.05
KY0040228,0,2.9666667,,,2.9666667
KY0040259,1,,,,1
KY0040469,3.0333333,12.033334,,,15.066668
KY0050344,37.700001,38.916668,,,76.616669
KY0050929,39.255554,46.697224,,,85.952774
KY0060022,38.240002,43.26923,,,81.509232
KY0060338,63.060001,45.155556,,,108.21556
KY0060392,70.5,69,,,139.5
KY0070282,22.178947,25.507999,,,47.686947
KY0070353,28.888235,26.475,,,55.363235
KY0070729,67.324997,66,,,133.325
KY0073691,8,,,,8
KY0080034,11.344828,51.130436,,,62.475266
KY0080135,11.071428,35,,,46.071426
KY0080442,11.5,44.133335,,,55.633335
KY0080910,1.3,0,,,1.3
KY0080928,3.0035,,,,3.0035
KY0080976,.5,,,,.5
KY0081013,11.725,43.166668,,,54.89167
KY0082592,0,0,,,0
KY0090287,33.799999,51.211113,,,85.011108
KY0090343,50.221741,46.391666,,,96.613403
KY0100011,32.811111,82.117393,,,114.9285
KY0100064,29.025,63.08889,,,92.113892
KY0100944,24.74,74.272728,,,99.012726
KY0110097,35.788887,42.955555,,,78.744446
KY0110345,50.271427,44.34,,,94.611427
KY0110664,48,,,,48
KY0120013,,41.099998,,,41.099998
KY0120039,6.25,,,,6.25
KY0130208,33.304546,42.894119,,,76.198669
KY0130949,1.85,15,,,16.85
KY0131012,47.666668,,,,47.666668
KY0140079,.89999998,3,,,3.9000001
KY0140206,,5,,,5
KY0140966,3.1764705,7.9875002,,,11.163971
KY0150242,21.219999,44.52,,,65.739998
KY0150300,11.1875,24.736364,,,35.923866
KY0160052,49.638889,50.27647,,,99.915359
KY0160294,32.792309,35.75,,,68.542313
KY0170146,18.799999,45.857143,,,64.657143
KY0170360,39.717648,36.42857,,,76.146217
KY0170528,47.125,65.25,,,112.375
KY0180102,0,7.0999999,,,7.0999999
KY0180185,0,,,,0
KY0180306,.56999999,4.5166669,,,5.0866671
KY0180308,0,3.55,,,3.55
KY0180502,,0,,,0
KY0180509,0,0,,,0
KY0180549,1,,,,1
KY0180914,,.5,,,.5
KY0200009,1,15,,,16
KY0200018,.5,5.5,,,6
KY0200095,0,,,,0
KY0202008,0,0,,,0
KY0203742,,4.0999999,,,4.0999999
KY0210008,,4.1999998,,,4.1999998
KY0210066,1.2,5.3166666,,,6.5166664
