pwsid,total_samples,total_samples_2020,detection_share,detection_share_2020,pfoa_and_pfos,pfoa_and_pfos_2020,concentration_avg,concentration_avg_2020,concentration_max,concentration_max_2020,pfas_count,pfas_count_2020
AK2310683,58,58,.05172414,.05172414,0,0,6.74999988079071,6.74999988079071,8.800000429153442,8.800000429153442,2,2
AK2310730,12,0,0,,0,0,0,0,0,0,0,0
AK2310900,12,0,0,,0,0,0,0,0,0,0,0
AK2310918,47,15,.36170211,.53333336,5.0293479,6.3277779,5.029347896575928,6.327777624130249,27,20.09999990463257,2,2
AK2320078,52,20,.5,.5,41.238461,43.950001,41.23846173286438,43.94999933242798,107.3000001907349,101,2,2
AK2340109,2,0,.5,,.23,0,.2300000041723251,0,.2300000041723251,0,1,0
AK2340117,2,0,0,,0,0,0,0,0,0,0,0
AK2340230,2,0,0,,0,0,0,0,0,0,0,0
AK2340670,24,0,0,,0,0,0,0,0,0,0,0
AK2350023,96,60,.20833333,.33333334,6.0124998,9.6199999,10.53750002384186,16.86000001430511,63.79999923706055,63.79999923706055,5,5
AK2370625,90,83,.044444446,.012048192,439.71429,0,440.7142944335938,1,2927,3,3,1
AK2370798,29,29,0,0,0,0,0,0,0,0,0,0
AK2372245,12,0,.83333331,,241.03571,0,241.0357055664063,0,691,0,2,0
AL0000013,152,152,.18421052,.18421052,18.866667,18.866667,89.28333353996277,89.28333353996277,179.7999992370605,179.7999992370605,7,7
AL0000017,37,5,.1891892,1,2.4833333,14.9,17.19166660308838,47.29999971389771,64.69999980926514,47.29999971389771,5,5
AL0000023,49,37,.1632653,.21621622,5.0714288,7.0999999,8.514286041259766,11.92000007629395,18.60000038146973,18.60000038146973,2,2
AL0000025,94,94,.13829787,.13829787,3.2799997,3.2799997,13.47000014781952,13.47000014781952,35.90000009536743,35.90000009536743,7,7
AL0000029,19,1,.052631579,1,0,0,2.400000095367432,2.400000095367432,2.400000095367432,2.400000095367432,1,1
AL0000035,13,1,.07692308,1,.66666669,2,.6666666865348816,2,2,2,1,1
AL0000036,28,10,.35714287,1,3.9500003,7.9000006,7.900000214576721,13.10000038146973,15.39999985694885,15.39999985694885,4,4
AL0000038,12,0,0,,0,0,0,0,0,0,0,0
AL0000048,65,65,.10769231,.10769231,12.766666,12.766666,22.64166676998138,22.64166676998138,63.59999990463257,63.59999990463257,5,5
AL0000053,70,58,0,0,0,0,0,0,0,0,0,0
AL0000068,29,29,0,0,0,0,0,0,0,0,0,0
AL0000076,29,29,0,0,0,0,0,0,0,0,0,0
AL0000079,58,58,0,0,0,0,0,0,0,0,0,0
AL0000083,58,58,0,0,0,0,0,0,0,0,0,0
AL0000085,70,58,0,0,0,0,0,0,0,0,0,0
AL0000091,108,108,0,0,0,0,0,0,0,0,0,0
AL0000092,58,58,0,0,0,0,0,0,0,0,0,0
AL0000093,83,83,0,0,0,0,0,0,0,0,0,0
AL0000098,12,0,0,,0,0,0,0,0,0,0,0
AL0000100,58,58,0,0,0,0,0,0,0,0,0,0
AL0000103,115,91,.034782607,.043956045,.5,1,1.037500008940697,2.075000017881393,8.300000071525574,8.300000071525574,4,4
AL0000108,29,29,0,0,0,0,0,0,0,0,0,0
AL0000117,29,29,0,0,0,0,0,0,0,0,0,0
AL0000125,112,112,0,0,0,0,0,0,0,0,0,0
AL0000131,24,0,0,,0,0,0,0,0,0,0,0
AL0000133,24,0,0,,0,0,0,0,0,0,0,0
AL0000154,34,4,.11764706,1,.61666667,3.6999998,1.066666677594185,6.399999976158142,6.399999976158142,6.399999976158142,4,4
AL0000162,24,0,0,,0,0,0,0,0,0,0,0
AL0000168,9,9,1,1,14.35,14.35,27.34999966621399,27.34999966621399,37.20000004768372,37.20000004768372,4,4
AL0000174,90,66,.044444446,.060606062,0,0,4.12499988079071,5.049999833106995,13.49999976158142,13.49999976158142,3,3
AL0000178,116,116,.0086206896,.0086206896,0,0,1.599999904632568,1.599999904632568,6.399999618530273,6.399999618530273,1,1
AL0000179,140,116,.064285718,.077586204,0,0,8.375,11.125,23.60000038146973,23.60000038146973,4,4
AL0000180,116,116,.14655173,.14655173,9.5500002,9.5500002,21.625,21.625,34.40000009536743,34.40000009536743,6,6
AL0000181,10,10,1,1,32.400002,32.400002,44.64999938011169,44.64999938011169,47.90000009536743,47.90000009536743,5,5
AL0000184,21,21,1,1,5.8999996,5.8999996,19.37499988079071,19.37499988079071,27.19999980926514,27.19999980926514,6,6
AL0000187,116,116,0,0,0,0,0,0,0,0,0,0
AL0000188,61,61,1,1,65.181824,65.181824,205.2140429019928,205.2140429019928,417.8999998569489,417.8999998569489,8,8
AL0000189,70,58,0,0,0,0,0,0,0,0,0,0
AL0000213,30,6,.26666668,1,10,30,38.38000005483627,109.8999998569489,122.2000000476837,109.8999998569489,6,6
AL0000232,58,58,0,0,0,0,0,0,0,0,0,0
AL0000234,12,0,0,,0,0,0,0,0,0,0,0
AL0000237,117,117,.008547009,.008547009,0,0,.6200000047683716,.6200000047683716,3.100000143051147,3.100000143051147,1,1
AL0000255,50,50,.41999999,.41999999,10.557143,10.557143,29.40000009536743,29.40000009536743,55.49999952316284,55.49999952316284,7,7
AL0000256,5,5,1,1,16.424999,16.424999,16.42500019073486,16.42500019073486,21.5,21.5,2,2
AL0000262,127,127,.2992126,.2992126,19.457142,19.457142,79.9452383518219,79.9452383518219,101.1000001430511,101.1000001430511,7,7
AL0000264,4,4,0,0,,,0,0,0,0,0,0
AL0000279,144,120,0,0,0,0,0,0,0,0,0,0
AL0000296,163,145,0,0,0,0,0,0,0,0,0,0
AL0000311,7,7,1,1,18.833334,18.833334,22.93333339691162,22.93333339691162,26.30000019073486,26.30000019073486,3,3
AL0000314,221,187,.47058824,.53475934,20.136143,18.584921,42.72715455293655,43.56671059131622,180.6000010967255,107.3000018596649,8,8
AL0000316,35,11,.31428573,1,2.8833334,8.6499996,12.32666659355164,25.29999971389771,27.30000019073486,27.30000019073486,6,6
AL0000319,1,1,1,1,,,4.800000190734863,4.800000190734863,4.800000190734863,4.800000190734863,1,1
AL0000320,33,33,.18181819,.18181819,13.1,13.1,19.25000011920929,19.25000011920929,28.79999995231628,28.79999995231628,4,4
AL0000321,34,10,.29411766,1,7.6833334,23.049999,13.33000013232231,35.65000033378601,41.69999933242798,41.69999933242798,6,6
