pwsid,haa5,haa5_syr3,haa5_syr4,tthm,tthm_syr3,tthm_syr4,combined_dbp,combined_dbp_syr3,combined_dbp_syr4
050594218,0,0,0,2.0999999,2.0999999,0,2.0999999,2.0999999,0
055293101,.001,0,.001,1.5,1.5,0,1.501,1.5,.001
055293201,2.25,2.3333333,2,16.833334,24.5,1.5,19.083334,26.833334,3.5
055293302,19.542856,11.333333,25.700001,46.5,0,46.5,66.042854,11.333333,72.199997
055293303,19.299999,0,19.299999,0,0,0,19.299999,0,19.299999
055293401,4,4,0,9.1999998,0,9.1999998,13.2,4,9.1999998
055293501,8.3000002,1.5,15.1,10.7,6.3000002,15.1,19,7.8000002,30.200001
055293502,0,0,0,0,0,0,0,0,0
055293504,1.45,1.5,1.4,0,0,0,1.45,1.5,1.4
055293601,3,0,3,0,0,0,3,0,3
055293603,0,0,0,4.75,0,4.75,4.75,0,4.75
055293610,0,0,0,0,0,0,0,0,0
055293611,0,0,0,.60000002,0,.60000002,.60000002,0,.60000002
055293702,2,2,0,6.5500002,6.4000001,6.6999998,8.5500002,8.3999996,6.6999998
055294101,0,0,0,14.2,0,14.2,14.2,0,14.2
055294201,0,0,0,0,0,0,0,0,0
055294203,7.4000001,7.4000001,0,0,0,0,7.4000001,7.4000001,0
055294204,0,0,0,2,.69999999,3.3,2,.69999999,3.3
055294205,0,0,0,2.0999999,0,2.0999999,2.0999999,0,2.0999999
055294214,1.2,1.2,0,0,0,0,1.2,1.2,0
055294301,34.424999,30.35,38.5,25.549999,0,25.549999,59.974998,30.35,64.050003
055294401,16.85,21.799999,11.9,47.849998,27.299999,68.400002,64.699997,49.099998,80.300003
055294402,11.65,0,11.65,26.15,0,26.15,37.799999,0,37.799999
055294403,0,0,0,0,0,0,0,0,0
055294404,32.049999,57,7.0999999,40.200001,40.200001,0,72.25,97.199997,7.0999999
055294501,2,2,0,0,0,0,2,2,0
055294502,0,0,0,1.255,1.7,.81,1.255,1.7,.81
