pwsid,detection_share
084690028,0
084690029,.029166667
084690030,.028571429
084690437,0
084690438,.012658227
084690439,.012109501
084690440,.023887891
084690441,0
084690453,.0023809525
084690456,.017220221
084690457,.011598711
084690458,.0055613667
084690460,.0060730726
084690461,.026597897
084690462,.019796651
084690463,.016612925
084690465,.011092486
084690466,.018398268
084690467,.012376848
084690468,.051207423
084690469,0
084690471,.01500369
084690472,.022839507
084690474,.001122268
084690475,.0038345691
084690476,.016129032
084690478,.0072951079
084690480,.002171607
084690481,.0063172043
084690483,.015691942
084690484,.03515327
084690485,.041239962
084690486,0
084690489,0
084690491,0
084690492,.016129032
084690498,.023634685
084690510,.00099635974
084690512,.013537437
084690516,.021300618
084690521,.059210528
084690522,.79365081
084690526,.028531246
084690528,.0036593729
084690531,.011223344
084690532,.023906503
084690533,.0060914392
084690534,.0070884838
084690535,.0065647485
084690536,.047811866
084990001,0
084990002,.019271983
084990003,.25643593
084990004,.017315784
084990006,.057983194
084990007,1
084990008,.16334996
084990009,.26033965
085690002,.0031655033
085690003,.0049169697
085690004,0
085690007,.009419593
085690008,.0060420088
085690009,0
085690010,.037414964
085690011,0
085690016,0
085690017,0
090400001,.00037047328
090400002,.15055971
090400003,.19557363
090400004,.00034722223
090400005,.00073260075
090400006,.0006445375
090400008,.00075757579
090400009,0
090400013,.05050505
090400014,0
090400016,.00097751711
090400018,.00089955021
090400019,.00072490034
090400020,.00022449209
090400021,.01754386
090400022,0
090400023,0
090400024,0
090400026,0
090400027,0
090400028,.0125
090400029,0
090400030,0
090400032,.13242784
090400034,.0004032258
090400035,.00021054849
090400036,.00041666668
090400037,0
090400038,.00039824771
090400040,.0007022472
090400041,.00041666668
090400042,.000025043826
090400047,.093058385
090400049,.005322129
090400051,.039885439
090400052,.090909094
090400053,0
090400054,.0013076169
090400055,.013157895
090400057,.087586209
090400058,.35485074
090400060,.20840827
090400063,.0058651026
090400070,.4848485
090400071,.0029842649
090400073,0
090400076,.00015605493
090400083,.00047892722
090400085,.034482758
090400086,.2363003
090400088,.11119244
090400089,.15390454
090400090,.030113198
090400092,.00099984615
090400093,.083333336
090400094,0
090400095,0
090400096,.00068783067
090400098,0
090400099,0
090400100,.059701491
090400101,.16790876
090400102,.0028571428
090400103,.21818182
090400104,.01923077
090400105,.00054324209
