"","PWSID","VIOLATION_CATEGORY_CODE","VIOLATION_STATUS","diff_days","total_violations"
"24947","CO0118055","TT","Resolved",29,4
"24948","CO0207506","TT","Resolved",1487,32
"24949","CO0242500","MCL","Resolved",29,4
"24950","CT1140034","TT","Resolved",1727,5
"24951","CT1470094","TT","Resolved",1976.95833333333,3
"24952","CT1600204","TT","Resolved",2129,37
"24953","CT1690214","TT","Resolved",2378.95833333333,3
"24954","FL1670724","MCL","Resolved",29,2
"24955","FL2160563","MCL","Resolved",89.9583333333333,4
"24956","FL4131958","MCL","Resolved",91,3
"24957","GA0190002","MCL","Archived",29,3
"24958","IA2326201","TT","Resolved",2318.95833333333,3
"24959","IA3135018","MCL","Resolved",90,14
"24960","IA5758201","TT","Resolved",30,4
"24961","IA9203763","TT","Resolved",857.958333333333,7
"24962","ID5270025","TT","Resolved",2443,4
"24963","ID6060062","TT","Unaddressed",221.958333333333,2
"24964","ID7260016","MCL","Archived",91.0416666666667,3
"24965","IL0314860","MCL","Resolved",30,4
"24966","IL1615750","TT","Unaddressed",217.958333333333,2
"24967","IL3093047","MCL","Resolved",30,6
"24968","IN2010034","TT","Resolved",2055.95833333333,7
"24969","IN2200021","TT","Resolved",2219,8
"24970","IN2200183","MCL","Resolved",29,4
"24971","IN2480009","TT","Resolved",2584,4
"24972","IN2500212","TT","Resolved",2615,15
"24973","IN2640054","TT","Resolved",1885,12
"24974","IN5220035","MCL","Resolved",30,4
"24975","IN5291020","MCL","Resolved",30,4
"24976","KS2016703","MCL","Resolved",91.0416666666667,34
"24977","KY1100944","MCL","Resolved",30,4
"24978","LA1035002","TT","Addressed",1070,71
"24979","LA1069012","TT","Addressed",1822,29
"24980","LA1097010","TT","Addressed",1415,29
"24981","LA1103088","TT","Addressed",1211,5
"24982","MD1051586","MCL","Resolved",30,5
"24983","MD1071179","MCL","Resolved",88.9583333333333,3
"24984","ME0000932","TT","Unaddressed",371,7
"24985","ME0006449","MCL","Resolved",30,4
"24986","ME0011591","MCL","Archived",30,4
"24987","ME0094644","TT","Resolved",766,3
"24988","ME0094782","MCL","Resolved",91.0416666666667,4
"24989","MI0005819","TT","Resolved",318,4
"24990","MI0040408","MCL","Archived",88.9583333333333,3
"24991","MI2028823","MCL","Resolved",91.0416666666667,3
"24992","MI2035414","MCL","Resolved",30,7
"24993","MI2039946","MCL","Resolved",29,3
"24994","MI2104579","TT","Resolved",2288,6
"24995","MO3010089","TT","Resolved",2470,47
"24996","MO5036305","MCL","Resolved",30,23
"24997","MO5291270","TT","Resolved",30,13
"24998","MO6283249","TT","Resolved",384,3
"24999","MS0140045","MCL","Resolved",88.9583333333333,4
"25000","MS0690041","MCL","Resolved",29,5
"25001","MT0003583","TT","Unaddressed",215.958333333333,2
"25002","MT0004479","MCL","Resolved",29.9583333333333,5
"25003","NC0276118","MCL","Resolved",91,10
"25004","NE3100302","MCL","Resolved",30,8
"25005","NE3102522","MCL","Resolved",30,11
"25006","NE3120044","MCL","Resolved",88.9583333333333,4
"25007","NH0867030","TT","Resolved",2227,5
"25008","NH1107030","TT","Resolved",2897,4
"25009","NH1407020","TT","Resolved",2288,4
"25010","NH1619050","TT","Resolved",1528,4
"25011","NH2501010","TT","Resolved",2166,8
"25012","NH2546020","MCL","Resolved",91.0416666666667,32
"25013","NJ0601001","MCL","Archived",90,3
"25014","NJ0611302","MCL","Resolved",88.9583333333333,4
"25015","NJ1022322","TT","Resolved",1901,9
"25016","NJ1106398","TT","Resolved",1064,4
"25017","NJ1615396","TT","Unaddressed",881.958333333333,2
"25018","NJ2110312","TT","Resolved",2456,5
"25019","NM3580033","TT","Resolved",2605,9
"25020","NV0000738","TT","Resolved",1530,2
"25021","NV0005033","TT","Unaddressed",798,2
"25022","NY1101755","MCL","Resolved",30,1
"25023","NY1612265","TT","Unaddressed",371,8
"25024","NY5118521","MCL","Resolved",364,3
"25025","OH2864912","MCL","Resolved",91.0416666666667,7
"25026","OH2876937","TT","Resolved",340,4
"25027","OH5550012","MCL","Archived",29,5
"25028","OH5600711","MCL","Resolved",90,8
"25029","OH6333412","MCL","Resolved",30,5
"25030","OH7259315","MCL","Archived",29.0416666666667,7
"25031","OK1021529","TT","Resolved",2897,56
"25032","OK3005305","MRDL","Archived",91.0416666666667,9
"25033","OK8005561","MCL","Resolved",30,4
"25034","OR4100389","MCL","Resolved",29.0416666666667,3
"25035","OR4190299","TT","Resolved",969.958333333333,6
"25036","OR4190889","MCL","Resolved",91.0416666666667,22
"25037","OR4191712","TT","Resolved",183.041666666667,8
"25038","OR4191881","MCL","Resolved",30,3
"25039","PA2080308","MCL","Resolved",90,3
"25040","PA2350895","TT","Resolved",564.958333333333,21
"25041","PA2400471","MCL","Resolved",91,4
