pwsid,total_samples,detection_share,pfas_count,concentration_sum,detection,max
AL0000424,1,1,1,6.300000190734863,1,6.3000002
AL0000425,1,1,1,3.900000095367432,1,3.9000001
AL0000426,1,1,1,9.5,1,9.5
AL0000427,1,1,1,7.5,1,7.5
AL0000428,1,1,1,8.899999618530273,1,8.8999996
AL0000429,1,1,1,7.699999809265137,1,7.6999998
AL0000430,1,1,1,4.900000095367432,1,4.9000001
AL0000441,84,0,0,0,0,0
AL0000463,24,0,0,0,0,0
AL0000490,36,0,0,0,0,0
AL0000491,58,0,0,0,0,0
AL0000500,41,0,0,0,0,0
AL0000502,4,1,2,25.59999990463257,1,22
AL0000509,24,0,0,0,0,0
AL0000533,58,.0344827586206897,1,.006800000090152,1,.0068000001
AL0000535,356,0,0,0,0,0
AL0000537,58,0,0,0,0,0
AL0000540,29,.2413793103448276,7,.1327000027522445,1,.056000002
AL0000547,83,.0120481927710843,1,1.799999952316284,1,1.8
AL0000549,83,.1566265060240964,5,91.40000009536743,1,49
AL0000553,93,.0967741935483871,4,44.29999995231628,1,23
AL0000555,91,0,0,0,0,0
AL0000570,29,0,0,0,0,0
AL0000572,58,0,0,0,0,0
AL0000577,36,.6388888888888888,8,143.6999999284744,1,76
AL0000578,1,1,1,1.899999976158142,1,1.9
AL0000581,29,0,0,0,0,0
AL0000588,24,.375,4,.2199999988079071,1,.1
AL0000591,48,.1875,3,.1099999994039536,1,.050000001
AL0000594,87,0,0,0,0,0
AL0000597,29,0,0,0,0,0
AL0000610,24,0,0,0,0,0
AL0000624,12,0,0,0,0,0
AL0000629,58,0,0,0,0,0
AL0000651,1,1,1,4.199999809265137,1,4.1999998
AL0000664,36,0,0,0,0,0
AL0000681,352,.0113636363636364,4,5.400000095367432,1,1.7
AL0000702,33,0,0,0,0,0
AL0000713,33,.1515151515151515,4,9.5,1,3.5
AL0000728,27,.1111111111111111,2,5.5,1,3.0999999
AL0000729,78,.0384615384615385,1,4.599999904632568,1,4.5999999
AL0000732,1,1,1,4.699999809265137,1,4.6999998
AL0000737,24,0,0,0,0,0
AL0000738,96,0,0,0,0,0
AL0000751,37,.1081081081081081,3,24,1,19
AL0000753,98,.1428571428571428,4,10.30000019073486,1,6.3000002
AL0000755,24,0,0,0,0,0
AL0000761,16,.25,3,10.39999985694885,1,4.0999999
AL0000763,48,0,0,0,0,0
AL0000769,12,0,0,0,0,0
AL0000783,83,.1686746987951807,6,49.69999980926514,1,17
AL0000789,17,1,6,75,1,22
AL0000794,24,0,0,0,0,0
AL0000798,3,1,2,9.699999809265137,1,5.5
AL0000801,72,.0694444444444444,3,.1500000040978193,1,.090000004
AL0000804,42,.4285714285714285,6,30.19999980926514,1,12
AL0000814,60,.4,6,27.60000014305115,1,10
AL0000816,165,.0484848484848485,3,7.212199809029698,1,7.1999998
AL0000817,1,1,1,11.10000038146973,1,11.1
AL0000818,1,1,1,3.400000095367432,1,3.4000001
AL0000819,1,1,1,1.899999976158142,1,1.9
AL0000820,37,.3513513513513514,4,17.5,1,5.1999998
AL0000821,1,1,1,1.799999952316284,1,1.8
AL0000822,1,1,1,4.900000095367432,1,4.9000001
AL0000823,1,1,1,5,1,5
AL0000824,28,.1428571428571428,3,6.299999952316284,1,2.7
AL0000825,1,1,1,2,1,2
AL0000826,1,1,1,2.400000095367432,1,2.4000001
AL0000827,1,1,1,1.799999952316284,1,1.8
AL0000828,1,1,1,2.5,1,2.5
AL0000831,4,1,3,21.70000028610229,1,12
AL0000833,42,.1428571428571428,5,30.09999942779541,1,8.6999998
AL0000865,1,1,1,4.099999904632568,1,4.0999999
AL0000867,87,0,0,0,0,0
AL0000870,30,.2,4,18.10000038146973,1,8.1000004
AL0000878,55,.1272727272727273,4,13.80000019073486,1,4.5
AL0000882,140,.0785714285714286,4,13.10619966639206,1,5.1999998
AL0000885,46,.2173913043478261,5,14.10000002384186,1,4.0999999
AL0000888,60,0,0,0,0,0
AL0000899,53,.0943396226415094,3,7.200000047683716,1,3.7
AL0000908,60,0,0,0,0,0
AL0000924,13,1,3,86.90000009536743,1,58
AL0000927,1,1,1,5,1,5
AL0000929,1,1,1,4,1,4
AL0000930,87,0,0,0,0,0
AL0000933,56,.25,5,70.89999961853027,1,49
AL0000934,26,.0769230769230769,1,2.299999952316284,1,2.3
AL0000935,58,.1206896551724138,7,.0388000004459172,1,.0091000004
